id,title,original_title,original_language,poster_path,stratum
1121020,Let's Be Friends,Let's Be Friends,en,/o6su0ub4Y0GV6N78Da0BbuCHlTY.jpg,no_title_on_poster
1535973,The Cheat,포섭,ko,/m1HkEPMN70CZ8N5LyuBCBhhBPBO.jpg,no_title_on_poster
265826,Twinkle Heart: Gingakei made Todokanai,トゥインクルハート 銀河系までとどかない,ja,/clMsQLWwcSNNqgCZHCpwb6acg25.jpg,no_title_on_poster
1243649,Junji Inagawa: Extremely Scary Stories Selection 2,稲川淳二の超こわい話セレクション 2,ja,/hPOxWzpqisJanDWFyk4c9SPG00l.jpg,accurate
881415,Love Me,Love Me,en,/uX8Z3qWJ5OjV1uP7yT6yRlw9UL9.jpg,accurate
561259,SUPER Horrifying Story 2,「超」怖い話2,ja,/vTDtqFjAfBbnYAqTasZD1tHJ7v.jpg,inaccurate
1450720,Windyville,Windyville,en,/ovpPzN84GgN3JiJqE1jJdU8jh4Q.jpg,accurate
753208,Where's Carolyn,Where's Carolyn,en,/3qrUh442iFK2iX3PwWj0EeHSm1V.jpg,no_title_on_poster
138860,Sword of Blood,レッド・ティアーズ,ja,/y89wV6HyI5qakoDX5TJjUFiYd8R.jpg,inaccurate
1053242,It's Just a Story,È solo una storia,it,/q5pqE7DGimdOavmhsCNYRhNkxTE.jpg,accurate
1441718,Scarlett's Colorful Friends,Scarlett's Colorful Friends,en,/lgWXqik0xLZi4O9B0wHTHq8NI6E.jpg,inaccurate
1728962,诡异降临,诡异降临,zh,/8PAT39du2wlSy12ecoeLjovzl0G.jpg,inaccurate
1070432,The Guest,The Guest,en,/dLEVoAdmsuRfSgFzilOnsaOHVyF.jpg,no_title_on_poster
1036637,The Beckoning,The Beckoning,en,/nEHwwETUATNYcLn8ixr7SwyXJCi.jpg,inaccurate
1417623,Slide,Slide,en,/dlnA2tqaSlVl0tnnrhrdxfpKrFy.jpg,accurate
365391,七月半之恐怖宿舍,七月半之恐怖宿舍,zh,/vDA7ophjkn0nqesOoOxa7vFF5TF.jpg,inaccurate
11427,Dead End,Dead End,en,/7zEQIztSdusobBMM2TNHcffaldp.jpg,accurate
1033801,The Curse of Robert the Doll,The Curse of Robert the Doll,en,/jhkzbOsnrhE6COA5mT3XLd5swKo.jpg,accurate
