id,title,original_title,year,original_language,poster_path
211258,Wax,Wax,2014,en,/8T41L1DfsLgeczCV591KxGE5BMr.jpg
212930,The Ritual,The Ritual,1996,en,/4jiKgkDSmFa5odwphWn9uUqYABT.jpg
227992,Necronomica,Necronomica,2013,en,/hUQ9ZKjKhTJqqlMCsrGQNuOwBGP.jpg
233203,Hong Kong Criminal Archives - Female Butcher,香港奇案之雾夜屠夫,1991,cn,/fgMf6zCP30AA0RROjr8d9uDuYVG.jpg
235348,100 Years of Torture: The History,拷問百年史,1975,ja,/ddduWzcMsftCbYIf9eF0rhQMVxe.jpg
237449,Four,หลุด 4 หลุด,2011,th,/2iw8U9PmGhZgHM7tnSbDBNj67lb.jpg
239815,Ascension of the Demonoids,Ascension of the Demonoids,1985,en,/7vR0nf6oACGvmgoJTa21ZsnAIfj.jpg
240157,Devadoothan,ദേവദൂതൻ,2000,ml,/po0F3uK2NeJ0ZQdmD6FnLGEtVah.jpg
243837,Hotel,होटल,1981,hi,/pPOyvWtGLtAji0uXz3GeMdrueFR.jpg
245492,Geethanjali,ഗീതാഞ്ജലി,2013,ml,/5dMgvRdsmzf9jv1sizPQRsKsede.jpg
246548,The Rafters,The Rafters,2012,en,/4oy9LBvnzm7XgkxmILvMRDAEzc6.jpg
250417,Clay,Clay,2007,en,/fvMoDYJ3AxHS20J21eSoqKyQQdx.jpg
250574,Creep,Creep,2014,en,/qn53D574tT0YRyLgirEFHQwGUXw.jpg
250883,Nak,นาค,2008,th,/cpcuzrsHQsh1J4VuStE7i84nC2R.jpg
253477,Torture Chamber,Torture Chamber,2013,en,/o7TKEdXtGi3f1t5wtxAbIAEy3Fm.jpg
254250,Till Death Do We Scare,小生怕怕,1982,cn,/rKsCWB2E4oeQjC8si7kgyJQJJFQ.jpg
255291,Animosity,Animosity,2013,en,/8eJItu11ks3JgK8zHCjxX59jFnF.jpg
255537,Ashes of Doom,Ashes of Doom,1970,en,/eoBAkI7zOPaxWWoKEzYR9gnaxcI.jpg
256030,Muck,Muck,2015,en,/bPYH46Qtc85jeeicjAg4hyL8uC2.jpg
257567,Vanished: Age 7,七つまでは神のうち,2011,ja,/29Wt6DOMzl94JSpEOnEwx4QXeAY.jpg
259512,The Devil´s Weed,La hierba del diablo,,es,/qZRuePlWCsTQAquan7iMPYIGEjM.jpg
260704,Birthright,臍帯,2010,ja,/pzbtAsndUgnPOvLgFNSoQfisBbs.jpg
262600,Shock,ஷாக்,2004,ta,/ksp4bEWP3UWoW5ZdRgFWpr8DNQD.jpg
262872,Coyote,Coyote,2010,en,/xjI1mNkn5Quz5SDW6MHPBOkb1wU.jpg
265067,Vampire,Vampire,1979,en,/ftpa0bibAwI0SJItIU2na8zLUow.jpg
266501,Nightmares,Nightmares,2004,ja,/vAxmsz6q3k2S4RPuRAwZEyO0xOh.jpg
266539,Kamen Rider Amazon: The Movie,劇場版仮面ライダーアマゾン,1975,ja,/3gTsjrb3CXubv1pZSEhubkbfBx.jpg
269588,Km 31-2,Km 31-2,2016,es,/UhihZIu4krs3TVIqoQevAha0ij.jpg
270294,Erotic Witchcraft,La Goulve,1972,fr,/7qH0DZEg9NFVMpxmlmYQe0HOaCr.jpg
270478,Konthayum Poonoolum,കൊന്തയും പൂണൂലും,2014,ml,/2pB8NhjvbTADT2IKUIAe2nLIDdI.jpg
276488,Let Us Prey,Let Us Prey,2014,en,/7X5VhHwDaSLkrDoifRbfvGZJxFP.jpg
276748,Creature of Comfort,Creature of Comfort,1968,en,/egKSs9tOZZfOGiU694R74K4wvyn.jpg
279237,Bake Jizo,化け地蔵,1898,ja,/auSqbagc1RRUUsMdIioCUFKpq8i.jpg
282443,Hands of Purple Distances,Ruke ljubičastih daljina,1962,sh,/91GxSj5JKqhWALPLJNAtsKjqQfc.jpg
283419,Island of Hell,獄門島,1977,ja,/yCRibr1sKfuSH2VXAwqPyHzncFz.jpg
285981,A Dead Man Visits the Living,一个死者对生者的访问,1988,zh,/1mmwvJxDuvhxHfmveC6NrK6eUNQ.jpg
287279,The Missing Bride,La fiancée du château maudit,1910,fr,/rgAd4zudWlbItkKNtLZF5XUgHj7.jpg
287311,Beloved Sister,"Fahr zur Hölle, Schwester",2002,de,/5Xk9GDz7G3otO52VlV7qRqjsSY1.jpg
290795,Maligno,Maligno,1977,tl,/wvPUKdGhQ7dahONG3cwbpyWkkeB.jpg
297160,XX,XX,2017,en,/drcIFTEIBnWI4G3OQt6rXOI8hf4.jpg
300143,The Rainbow Man,虹男,1949,ja,/22FFDLHqExTbuBNDc5ITIWexfW7.jpg
300584,Carranca,Carranca,2014,pt,/3leakQkTaHQDqyag8BtHDbJadUS.jpg
301992,Prison Pit: Book One,Prison Pit: Book One,2014,en,/4Rox49oGHmFUMSfv1VTFD1NoAvH.jpg
306951,Haunted House,Haunted House,2011,en,/fnKfOeMBKCgBZ9OgxvQaIr60ooy.jpg
308037,Vanadevatha,വനദേവത,1976,ml,/atBm2T2EenGrpOdFfncmlccbaZc.jpg
308259,RE,RE,2014,en,/jii5C9iGtY0a1YDHblnPFUzu0Vw.jpg
312831,The Hallow,The Hallow,2015,en,/sOT4KqFPlvxTeEwyHOcn8agJnsI.jpg
314364,Sakthi,Sakthi,1980,en,/qVzs56c64BefTXP3B42hOdIdBJE.jpg
315708,Martins Feuer,Martins Feuer,2013,de,/pwamqGApVkgMMnHKSTkQ7ImtDV9.jpg
317578,Haplos,Haplos,1982,tl,/pY4tLA251A07IB7SvqCdw74euwQ.jpg
317712,The Legend of Sayo,遠野物語,1982,ja,/pDjqHUsqRkLF02G3duiwoDWC1vy.jpg
317873,Adam,אדם,1974,he,/6qV2WvZETYaikM5XK3O3hy89Mol.jpg
318931,The Witches,Ang Manananggal,1927,xx,/dRMuNY7UNz60CiAzSjw4LRAyjJo.jpg
319178,Hatanosuke and the Haunted House,日の丸旗之助～化物屋敷の巻～,1935,ja,/ytQlx97f6JrnqENP2S649tV0gQU.jpg
321738,Cheondong,Cheondong,1973,en,/5phFtXBFUYeTxz2pAgVmvPJeTHy.jpg
322055,"You Become a Star, Too",너 또한 별이 되어,1975,ko,/sNZZfpANsNaC0o5fd883k4OipR0.jpg
322436,Millennial Reincarnation,천년환생,1998,ko,/7Rh2W5XfWoWM7cCrReTJESnnRq0.jpg
322530,Fantastic Theater,환상극장,2011,ko,/yZeNF1Ko3W0FT99czt3iC47EShk.jpg
324021,The Tale of Himeji Castle,天守物語,1995,ja,/Aihtq7jeqLTR4Yyi8qAstjK1uXy.jpg
327568,We're in a Fight,We're in a Fight,2014,en,/whTFqF7yirYyhEMojLwtwCN21tW.jpg
328091,The Eternal Present,The Eternal Present,2004,en,/6jEaZw4QD24zGVgVULGacjkfiAo.jpg
328141,I Am Your Grandma,I Am Your Grandma,2011,en,/qcVudZ4HR3LSWgMWtNVzX0IqtBt.jpg
328963,Shadow House,Shadow House,1973,en,/rF1HlIJOwe7HhAgaWjGOmE7VQzr.jpg
329134,Massu Engira Maasilamani,மாஸ் என்கிற மாசிலாமணி,2015,ta,/qXJTn2ZMhrbs4TawcZfoI2Ifwws.jpg
329951,The Adventures of Filfila,مغامرات فلفلة,1966,ar,/A7gfsprcLW1Ik0qzmKo0eM4RAT3.jpg
330163,Gorilla,Gorilla,1956,sv,/SFy5dcTFScwqeYm0blljzwk7lK.jpg
330291,T Is for Thread,T Is for Thread,2011,en,/jbwNrScECFhcOPXG7x57W08CCvR.jpg
330425,Kanchana 2,காஞ்சனா 2,2015,ta,/oBaVzegjQza23C1XCOMfnQRhplw.jpg
333866,The Man Who Became Coffee,The Man Who Became Coffee,2015,en,/pr909pMUZ0QiqWE0URPlu4WZH3z.jpg
335650,Impurity,Impurity,2015,en,/tP4VOxHYOxc3zrgrx4sx08rfTvr.jpg
336048,The Biggest Meatball in the World,Самое большое кюфте в мире,2001,ru,/dCFrA7SDBVlHqHGdVRM9HbG9TUu.jpg
336766,The Legend of the Scarecrow,La Leyenda del Espantapájaros,2005,es,/1d2lWRqNpVBi2I3ITEVesbmwRSY.jpg
336809,Sangdil,Sangdil,1952,hi,/4GZWh21t0NZ0BfV7wqOUshmT6xY.jpg
337029,Frankenstein,Frankenstein,2015,en,/kzTvgsGFd7zpGbwDsA4p8Nkdzj9.jpg
337085,Estranged,Estranged,2015,en,/rxzm5G9XDs3OJzXk3gadLJlpdGw.jpg
343041,Lola,Lola,1914,en,/rymlclR44zMVlsQjlx1GF740Mc5.jpg
343886,Sweet Spirits of the Nighter,Sweet Spirits of the Nighter,1941,en,/8ONqbdOlbkW2oZQtuy4FMU0xBct.jpg
344161,Frankenstein,Frankenstein,1940,en,/nSo9KplymuAAFjAFA9MBZui0wAZ.jpg
346364,It,It,2017,en,/9E2y5Q7WlCVNEhP5GiVTjhEhx1o.jpg
346986,Feast Of Fools,Feast Of Fools,2004,en,/7HpFcjuC1nr51k4hbAxPbFbqqRU.jpg
347206,Vengeance of the Spirits,La Revanche des Esprits,1911,fr,/3cEnFvsfHDAt1qShxh567qTP7w1.jpg
348125,Rodentia,Rodentia,2012,en,/Ag93GJJKdsTosBFMfV0I9KqAaHR.jpg
352675,Pakalpooram,പകൽപ്പൂരം,2002,ml,/1Mv9q2ZqHXxd7EuahuqTh323RBL.jpg
353127,Exit,Exit,1990,sv,/qLUuSOEtHpo2J4iPn8VjCfwalge.jpg
353484,La chevelure,La chevelure,1961,fr,/6ndujddk7q7j1IVuQKJVEMfBBpo.jpg
354506,Pulse,Pulse,2010,en,/xtGQKAjMuXfFV3349b162PtXFqn.jpg
355156,Chiruri,チルリ,2011,ja,/mGOIkgHfbeYk8l545R9l5M5jAOz.jpg
361554,Don't Nag Me,Don't Nag Me,1987,en,/sjFm06lKqZvGjbioIZYersoPql5.jpg
361945,Sleepy Hollow,Sleepy Hollow,1911,en,/yvOClUlXpruMN3E4yzjStYA7Eh7.jpg
361988,Bad Moon Rising,Bad Moon Rising,2011,en,/r9b4XFYCRiDPW2D0DJqFfnHTZvk.jpg
363164,The Mummy,The Mummy,1911,en,/qb5bXnMDgdKT6rsEjhCFrxpyvzt.jpg
369452,Squid Festival,納涼アニメ 電球烏賊祭,1993,ja,/twvFyU9Agi4FeSqNYZK6cIFDcpc.jpg
369819,Sowkarpettai,சவுகார்பேட்டை,2016,ta,/iRAaS9lwt521WBwlV7oXKr3L4gH.jpg
370067,Vidayutham,விடயுதம்,2016,ta,/vtDCedGTgCwaTxdEJUeXKwXuCHe.jpg
370311,Fresh Acconci,Fresh Acconci,1995,en,/psVzg6jWFJJn9AStVi9YlMZjgFh.jpg
370808,Lesley the Pony Has an A+ Day!,Lesley the Pony Has an A+ Day!,2014,en,/pCjzO9BLbqQMbNLtyhtrr4jI5t3.jpg
370897,Whistle Stop,Whistle Stop,2014,en,/up3Dca8ZiBr0FKbMv5r12nkCuvI.jpg
376094,Doomed Disaster,诡劫,2015,zh,/cZVIhol0xo1GbTb0OOhI2DXH46r.jpg
377409,Killer!,Killer!,1989,en,/A9CeJkOff220TcWuUx4fqVNt17s.jpg
377787,The Present,禮物,2013,zh,/geYkFo1L3FnT3jYSiL89KOvykKZ.jpg
378020,Recluse,Recluse,2016,en,/7Of4oQqhgjeRGqsddVe2mXRPYqC.jpg
381283,mother!,mother!,2017,en,/fjny9chXPx69ln1LMJxbwi5yHMt.jpg
382290,M・Y・F・A・C・E,ワ・タ・シ・ノ・カ・オ,2005,ja,/mZTQPrfjDBFiRCJOGAPSYRZdMjO.jpg
383338,Escape,Escape,2008,de,/5nPdp5LZMowrXqk2fQN2k3M4s8s.jpg
384197,Mochibei,餅兵衛,2005,ja,/c0DiiUF910vJKXBIohd9HRzLV2p.jpg
386396,Mondomanila: Institusyon ng Makata,Mondomanila: Institusyon ng Makata,2004,tl,/3YAEns4nRHJcUJQJKa3ahZPDjKc.jpg
387063,NDA,NDA,2015,en,/k5KxK5RSDW8cUIFwRYZoLqkXaZE.jpg
387737,Maria's Stomach,マリアの胃袋,1990,ja,/7ToJDpVAivomFZdO9J61ioFtf8g.jpg
388994,Ayla,Ayla,2017,en,/9qJd7Fau4Ngw0XkyFjiAhFNDaeF.jpg
390674,Female Harakiri: Glorious Death,女腹切り・散華,1989,ja,/fvwrnUvdek6YhtTqomxCfU6M5sS.jpg
391529,Jajo,Jajo,1984,pl,/2yvBa6TmLW7UiwW8WJjE3Ajh4oy.jpg
392193,Soccer Moms in Peril!,Soccer Moms in Peril!,2015,en,/sWAlGrKZ2yyH6zITuxKyoo6GZhK.jpg
392432,Endless,Endless,2016,en,/t1lLx2HVnVrFsaPo490QXvYoQpa.jpg
392569,Aadupuliyattam,ആടുപുലിയാട്ടം,2016,ml,/tqu09JapP1T8Z5zzC1HgjfI1891.jpg
392595,Shadow Man,Shadow Man,2004,en,/9ZqUzjeZC7o2d85GoffkbeKg3ga.jpg
394860,Grimewave: Cockface III,Grimewave: Cockface III,2013,en,/aAaxkwfBC5igTgdDpsRmQPGNFUm.jpg
396493,Creep 2,Creep 2,2017,en,/a0m7WciFnBqpcyH1Yi8i4tdvk0k.jpg
396550,Sickhouse,Sickhouse,2016,en,/p7L0A9rfnjNvpyA8mhGzAiTV1cl.jpg
396818,Visa to Hell,Visa to Hell,1991,zh,/5D35xFeHdHMboIpz5oU9FD1k9Pe.jpg
398768,White Clothing: Harakiri,白装束・腹切り,1990,ja,/kFIO2l5cfvNj1xsJymmOCUE5caQ.jpg
399118,Night People,Night People,2015,en,/o7pscyTogn8Rob1mkF1FIHUgIz9.jpg
399701,Vampirisme,Vampirisme,1967,fr,/zZtlVqIjKjW4QPQnKpoj3NBpJ9b.jpg
400342,Judgement Tavern,Judgement Tavern,2016,en,/kTIHerD1XTThNtxnSWZF8tsMiY1.jpg
401560,View,View,2008,en,/uRQFpmeEnJucNBeYLHwgnFzdhVY.jpg
401714,The Carnivore,Carnívora,2016,pt,/49jTLhanVYdarFOyeYOTHeiQo2H.jpg
402721,Lollipop,Lollipop,2010,en,/nUKMjASrMD2MNtv679T04rZvigy.jpg
403654,Troublesome Night 13,陰陽路十三之花鬼,2002,cn,/peifKhU3JkX81AgEm3QT6RpciOm.jpg
406269,Interrogation,Interrogatoire,1989,fr,/1xgFLH2biglCI4urZJPtIJ3Cinc.jpg
406275,The Last Fly,La dernière mouche,1989,fr,/lJNFZWf6zlGxWVnwSTSvr6MRBGI.jpg
406591,Hunters' Sense of Touch,狩人たちの触覚,1995,ja,/9oOLiXuzGRWgBjaZ8W6yia5NIZw.jpg
409330,Is It You?,Oled see sina?,2013,et,/jJyqSllv8MPwLvRb9ogNbVfCPhx.jpg
411279,Pretham,പ്രേതം,2016,ml,/gzjXkR4nxfNz0AWCJgS7lZ49nlP.jpg
412102,Nenjam Marappathillai,நெஞ்சம் மறப்பதில்லை,2021,ta,/3hw8exDODhg55Gk046t4Igyr6dC.jpg
412333,Mohini,மோகினி,2018,ta,/fFTbwRo3vYvewwMDEalgDJcx5F8.jpg
413951,The Faceless Man,氷柱の美女,1977,ja,/43qo3fsxWYgP2iLQTRB0lPQ1CrX.jpg
415175,The Scavengers,The Scavengers,1987,en,/6MzGKlFd9rH4rQ3aMz6PvMt5cOP.jpg
418939,The Eye's Dream,眼球の夢,2016,ja,/29jWQqbENRCfGeo3iM5HPyQwbw7.jpg
419391,Grýla,Grýla,2016,is,/fShfedc778N32It4aywkZMC6oyk.jpg
420674,BoF,BoF,2016,en,/1kYK4jsnrYNtevOFxPLMYX76wAV.jpg
421197,Ghost of Nang Fa Thani,นางพรายตานี,1967,th,/tIcNLsWnbUMto2QLGtuM39gKXyK.jpg
422406,Red Account: My Bloody Angel,赤い報告書　鮮血の天使,1988,ja,/siDy5KCYEVOHvqp9V247LE8jWhC.jpg
422947,Snow Woman,雪女,2016,ja,/x91e6wIHRZ5vJqHHYrdZfPg2Gs5.jpg
423344,Eko Eko Azarak: R-Page,エコエコアザラク R-page,2006,ja,/ugUGssJKWkJJkuLBvFGqjL6kwWe.jpg
423870,Empire of Madness,Empire of Madness,1989,en,/7mP5cB6T1k62gLu1B0QSE0G5Sa4.jpg
424222,UFO: It Is Here,Ufo: it is here,2016,de,/2GnEKeMaO4nwv9y5ijLgoHkCYIq.jpg
424650,Affection,Affection,2012,en,/4O1zYrteiJbGCHfj8O7rU3hT694.jpg
426063,Nosferatu,Nosferatu,2024,en,/5qGIxdEO841C0tdY8vOdLoRVrr0.jpg
426293,The Detail,Das Detail,2016,de,/ztJuVuDWBJq77vyUGb9zgnn1oFb.jpg
431109,Inhumanwich!,Inhumanwich!,2016,en,/6hyd50wCk9cOz642IBy6P0TTDeu.jpg
432916,The Ghost Photo Club,心霊写真部 劇場版,2015,ja,/hOiErt8dojhS06jhhvvtz951glb.jpg
434325,Claws,Daganes,1996,el,/dICtyeMbiNdQnjDH3J6cd5wdI3S.jpg
437265,The Gods Have a Nervous Breakdown,スペシャルレッスン 変態性教育,1990,ja,/gpdAIQROkA0kbkLl5oy9FDHbDqv.jpg
438237,"Caracol, col, col","Caracol, col, col",1995,es,/ma16rFqYse58Og3jrGYHCj6ZWEH.jpg
440255,The Road,The Road,1964,en,/j4wQkPGAAPa1tWdeO83pEPmJJTx.jpg
440444,Piercing,Piercing,2019,en,/1iDIFMzYxY25X25KDeARA6VoDl3.jpg
443151,Crocodile Man 2,Chompa Toung,1969,km,/3NU4v1k9beeXV8SuUroEuWlZ95J.jpg
443538,A Strange Case,Ein seltsamer Fall,1914,de,/qsBBssvcpHKBrWzvL9iAagM1oxz.jpg
444483,Vassalord.,ヴァッサロード,2013,ja,/vyzS55N83jgDtgMeyYJOD7ppYMz.jpg
446904,Gone,Gone,2013,en,/ccuUHc1Yyyr3q7S9K6NJftjTaNw.jpg
447385,The Dream Woman,The Dream Woman,1914,en,/heEqX0kBiJvTyBkLSbdb9Nmxbfc.jpg
447722,Bloody Demon,流血鬼,1983,ja,/lDiprOb6421Ue9Dpk9LT0gaAfkp.jpg
447724,HighWay,HighWay,1987,ja,/3hFMhHXOsxnM1zY7jwK0xM0ueSl.jpg
447726,Ripper,Ripper,1989,ja,/uO4vOVyDaGTG4J5NITloYLUb2PS.jpg
447728,Nightmare Scoop,Nightmare Scoop,1993,ja,/znbcV85jfi7alhIqbO49XITmmBN.jpg
448194,Pyewacket,Pyewacket,2017,en,/3ET9MWmIx2ny2KP5mqY9ceb0WxF.jpg
450157,Urban Spirit Legend: Psychic Factory,都市霊伝説 心霊工場,2010,ja,/13CAyvgZuB6RpQTOdGC0Vupg1af.jpg
450512,Strange Tale at Midnight,半夜奇談,1955,cn,/c5B11wANq7klhibH868I7XCP0Do.jpg
450515,The Night the Spirit Returns,回魂夜,1962,cn,/5VneBc1G7TpeyM7NLlx8tA1tioe.jpg
450523,The Ghostly Murderer,鬼兇手,1964,cn,/2s2wne5MwwtgqB1fuPvUl1kwxOV.jpg
450934,Mokdugi Video,목두기 비디오,2005,ko,/r5ZszrH0WDnclIr6NuvLieX3U3Y.jpg
451331,Dive into Doom,Tauchfahrt ins Verderben,2013,en,/qFnkUs72zpXuDb8aJBLklJUvR3y.jpg
