id,title,year,original_language,poster_path,human_verdict,has_text,human_note
31232,"It!",1967,en,/sBMFTviUDt6bm8LROkAWAvw1Ts5.jpg,es_poster,si,""
35040,"Croc",2007,en,/c3moWZrfZRp38FWystfNYTrGOh4.jpg,es_poster,si,""
36166,"Devilman",2004,ja,/qRvH8FsUUNd9buirqnHNk3CCF1f.jpg,es_poster,si,""
40351,"Sex Beyond the Grave",1984,en,/eYMPaQKfo5IBAnKfwsGkCiUIyNA.jpg,es_poster,si,""
40368,"Nightmare",1981,en,/OFysFt0EIXHW89iv38VURpKpKW.jpg,es_poster,si,""
47957,"Madman",1981,en,/2pZxY7b22LicdcvWNMCyX8VseVG.jpg,es_poster,si,""
48581,"The Sandman",1991,xx,/k27nu90cLVzyTltOtHjQoUdi5o7.jpg,es_poster,si,""
48636,"Nekromantik 2",1991,de,/q1CtldLFgg4kRP81o0mY9f42ubJ.jpg,es_poster,si,""
51248,"11-11-11",2011,en,/t6Wd9gY6e1yJVVXRtgICFqwieyu.jpg,es_poster,si,""
53122,"Chandramukhi",2005,ta,/r7lLdyiJ1e2FmDP6rvxsUDk7Uju.jpg,es_poster,si,""
53459,"F",2010,en,/pVIEx8sru5F6NErffwVxs815VYY.jpg,es_poster,si,""
55142,"Cadaver",2006,th,/dZNg6irU6tgL8n73UmjQGijv6y0.jpg,es_poster,si,""
56328,"2002",,cn,/3SJBGwJnpLI2yEyaVqByife4Xfi.jpg,es_poster,si,""
56915,"Blown",2005,en,/tesN5ykFKmaZms0VIZB9DMKZcDw.jpg,es_poster,si,""
57812,"51",2011,en,/p6NvaDusl8urJUlglYgPVSnJjFN.jpg,es_poster,si,""
57961,"Slashers",2001,en,/7NcCGeHLz0iRidiOo109Hww24YP.jpg,es_poster,si,""
65599,"The Woman",2011,en,/zOGqKcuApM1Js4C0n4luv9rctBH.jpg,es_poster,si,""
66315,"Aayiram Jenmangal",1978,ta,/83TUWbPMOCGuQPIFw3aO61nIMqa.jpg,es_poster,si,""
71480,"Unborn But Forgotten",2002,ko,/9R9qTTdkEs3uNPzITUuI4TsyiZc.jpg,es_poster,si,""
73179,"Haunted Gold",1932,en,/xAscwFtgLyzoxRghiospveh3WQm.jpg,es_poster,si,""
77483,"Dunderland",2012,no,/xrqMYN3SWR9hih1kthH9nosghp1.jpg,es_poster,si,"Este texto esta muy dificil de leer pero si hay una text"
79624,"Curse",1977,ja,/qBJfmLCtczkayFXduwhFvX9vsZm.jpg,es_poster,si,""
81990,"Cellular Girlfriends",2011,ja,/hCNoSI6vBIfVR4ndMnCLLiFxHjy.jpg,es_poster,si,""
83172,"Spawn of the Slithis",1978,en,/kk2yyfgTA9qtBhtu7016jdeOzJP.jpg,es_poster,si,""
83519,"Witchcraft",1964,en,/nXxxW0Gl66xqwJE9fpTLN0bPqBh.jpg,es_poster,si,""
85198,"Frightmare",1983,en,/joQ36TBtUfMlQilc44gcRiY5Nqv.jpg,es_poster,si,""
85646,"Entrance",2012,en,/bpsMVtUZ58bPpI9U34E1pOgin5v.jpg,es_poster,si,""
88780,"Devil Hunter Yohko 2",1992,ja,/8PIMzpG8vnBcmA0FmRc2gAtp7Eo.jpg,no_es_poster,,""
88784,"Devil Hunter Yohko 4-Ever",1993,ja,/4v9qSCcbsOMketpZDL07Y5VT1pj.jpg,no_es_poster,,""
90063,"Vampires in Havana",1985,es,/cihNBv06b3H2Ha91YTGBFUk2M48.jpg,es_poster,si,""
90338,"Fiend",1980,en,/nne4ZJsEX0pMV6YmUUuMI9BpJIg.jpg,es_poster,si,""
94545,"The Bushwhacker",1968,en,/fO6eXDta3pHMxm5iF8gjt56xVkZ.jpg,es_poster,si,""
98084,"Legion of Fire: Killer Ants",1998,en,/cNpK3zhp0z3ZKL6znVMPxbz7jME.jpg,es_poster,si,""
99263,"Schizophreniac: The Whore Mangler",1997,en,/xVvIFcx8Q1tqBeN3sUTsllj96oN.jpg,es_poster,si,""
100241,"I, Frankenstein",2014,en,/a53tIl4k20zCZCNyq73kiXkwWkl.jpg,es_poster,si,""
100480,"Kazuo Umezu's Horror Theater: Diet",2005,ja,/QkudYfCXTfUUfJJ4cP7gYQpYXG.jpg,es_poster,si,""
106569,"The Demon",1972,ja,/3OeXwL6EgZsOhmP1NUAoichX4qx.jpg,es_poster,si,""
123107,"Hellbenders",2013,en,/sWgCQPypdN9jFaUSjItPn9htW9p.jpg,es_poster,si,""
126830,"Li'l Spider Girl",2012,ja,/wafbftomue5BnIsSXN2ircyBMQh.jpg,es_poster,si,""
128519,"In the Name of the Devil",2002,es,/dnPnqkFThbB0FXn5KaVIClRZeEs.jpg,no_es_poster,,""
129096,"The Discarnates",,ja,/fQx2VEF2mVEtWmrSiwglKhuQKa2.jpg,es_poster,si,""
129465,"Hells",2008,ja,/wzakuhm5mMxZXt6oP6CbkJuA7rV.jpg,es_poster,si,""
134572,"Blood Relations",1988,en,/o2iVp7bFxaBqw9e1IkfEWBanZD1.jpg,es_poster,si,""
145996,"Ghost Meets You",2000,cn,/oVYISQE1IjT9U5Vf2TOdBCdG0gb.jpg,es_poster,si,""
151022,"Gerorisuto",1990,ja,/bHOdQQRjeSkrSBT0YQHFYUe8X7i.jpg,es_poster,si,""
152357,"Kana Kanmani",2009,ml,/94huaMTsf6dltbjCQ5CQRPq5VEf.jpg,es_poster,si,""
152810,"Moonnamathoral",2006,ml,/srMkWZnS0naqvxT9AmsGimW6Dwg.jpg,es_poster,si,""
161160,"When Twilight Draws Near",1969,ja,/78s81p7KAfzsnDeZAxE2SllnwPO.jpg,es_poster,si,""
163617,"Ghosts",2002,cn,/uJeW307HXACHMA5sHgVoCvmbTtY.jpg,es_poster,si,""
166201,"Bog",1979,en,/3ZLzEJl2S1ro0NJXVgd1E3bNHkv.jpg,es_poster,si,""
166271,"Haunter",2013,en,/gBsO7Sp3g1oOaxQ44pomsJLm7m7.jpg,es_poster,si,""
171367,"The Jar",1984,en,/1mhXTLL1xJGaXl7kPv3LY6a09m3.jpg,es_poster,si,""
174838,"Atman",1975,ja,/h70qCMirvroESUDhR1UyA3k6xdq.jpg,no_es_poster,,""
194759,"Reel Horror",1985,en,/5oFEDIs7hJHqOaINGNpZDdpUipH.jpg,es_poster,si,""
194809,"Anandabhadram",2005,ml,/d7f3ZFCobD9Em3dUMDP2Rk7NB40.jpg,es_poster,si,""
200402,"Prema Katha Chitram",2013,te,/7m8mNU3EyW7Mc2uS5fIkzjmA76R.jpg,es_poster,si,""
201343,"Satan Bouche un Coin",1968,fr,/nOOY0OMZFrN3a6feUNZAgGnjWFa.jpg,no_es_poster,,""
203009,"Blackwood Evil",2000,en,/duJ88UxyhpAyLtTDnQHtF9ficeO.jpg,es_poster,si,""
211258,"Wax",2014,en,/8T41L1DfsLgeczCV591KxGE5BMr.jpg,es_poster,si,""
212930,"The Ritual",1996,en,/4jiKgkDSmFa5odwphWn9uUqYABT.jpg,es_poster,si,""
227992,"Necronomica",2013,en,/hUQ9ZKjKhTJqqlMCsrGQNuOwBGP.jpg,es_poster,si,""
233203,"Hong Kong Criminal Archives - Female Butcher",1991,cn,/fgMf6zCP30AA0RROjr8d9uDuYVG.jpg,es_poster,si,""
235348,"100 Years of Torture: The History",1975,ja,/ddduWzcMsftCbYIf9eF0rhQMVxe.jpg,es_poster,si,""
237449,"Four",2011,th,/2iw8U9PmGhZgHM7tnSbDBNj67lb.jpg,es_poster,si,""
239815,"Ascension of the Demonoids",1985,en,/7vR0nf6oACGvmgoJTa21ZsnAIfj.jpg,no_es_poster,,""
240157,"Devadoothan",2000,ml,/po0F3uK2NeJ0ZQdmD6FnLGEtVah.jpg,es_poster,si,""
243837,"Hotel",1981,hi,/pPOyvWtGLtAji0uXz3GeMdrueFR.jpg,es_poster,si,""
245492,"Geethanjali",2013,ml,/5dMgvRdsmzf9jv1sizPQRsKsede.jpg,es_poster,si,""
246548,"The Rafters",2012,en,/4oy9LBvnzm7XgkxmILvMRDAEzc6.jpg,no_es_poster,,""
250417,"Clay",2007,en,/fvMoDYJ3AxHS20J21eSoqKyQQdx.jpg,es_poster,si,""
250574,"Creep",2014,en,/qn53D574tT0YRyLgirEFHQwGUXw.jpg,es_poster,si,""
250883,"Nak",2008,th,/cpcuzrsHQsh1J4VuStE7i84nC2R.jpg,es_poster,si,""
253477,"Torture Chamber",2013,en,/o7TKEdXtGi3f1t5wtxAbIAEy3Fm.jpg,es_poster,si,""
254250,"Till Death Do We Scare",1982,cn,/rKsCWB2E4oeQjC8si7kgyJQJJFQ.jpg,es_poster,si,""
255291,"Animosity",2013,en,/8eJItu11ks3JgK8zHCjxX59jFnF.jpg,es_poster,si,""
255537,"Ashes of Doom",1970,en,/eoBAkI7zOPaxWWoKEzYR9gnaxcI.jpg,es_poster,si,""
256030,"Muck",2015,en,/bPYH46Qtc85jeeicjAg4hyL8uC2.jpg,es_poster,si,""
257567,"Vanished: Age 7",2011,ja,/29Wt6DOMzl94JSpEOnEwx4QXeAY.jpg,es_poster,si,""
259512,"The Devil´s Weed",,es,/qZRuePlWCsTQAquan7iMPYIGEjM.jpg,es_poster,si,""
260704,"Birthright",2010,ja,/pzbtAsndUgnPOvLgFNSoQfisBbs.jpg,es_poster,si,""
262600,"Shock",2004,ta,/ksp4bEWP3UWoW5ZdRgFWpr8DNQD.jpg,es_poster,si,""
262872,"Coyote",2010,en,/xjI1mNkn5Quz5SDW6MHPBOkb1wU.jpg,es_poster,si,""
265067,"Vampire",1979,en,/ftpa0bibAwI0SJItIU2na8zLUow.jpg,es_poster,si,""
266501,"Nightmares",2004,ja,/vAxmsz6q3k2S4RPuRAwZEyO0xOh.jpg,no_es_poster,,""
266539,"Kamen Rider Amazon: The Movie",1975,ja,/3gTsjrb3CXubv1pZSEhubkbfBx.jpg,es_poster,si,""
269588,"Km 31-2",2016,es,/UhihZIu4krs3TVIqoQevAha0ij.jpg,es_poster,si,""
270294,"Erotic Witchcraft",1972,fr,/7qH0DZEg9NFVMpxmlmYQe0HOaCr.jpg,no_es_poster,,""
270478,"Konthayum Poonoolum",2014,ml,/2pB8NhjvbTADT2IKUIAe2nLIDdI.jpg,es_poster,si,""
276488,"Let Us Prey",2014,en,/7X5VhHwDaSLkrDoifRbfvGZJxFP.jpg,es_poster,si,""
276748,"Creature of Comfort",1968,en,/egKSs9tOZZfOGiU694R74K4wvyn.jpg,no_es_poster,,""
279237,"Bake Jizo",1898,ja,/auSqbagc1RRUUsMdIioCUFKpq8i.jpg,es_poster,si,""
282443,"Hands of Purple Distances",1962,sh,/91GxSj5JKqhWALPLJNAtsKjqQfc.jpg,no_es_poster,,""
283419,"Island of Hell",1977,ja,/yCRibr1sKfuSH2VXAwqPyHzncFz.jpg,es_poster,si,""
285981,"A Dead Man Visits the Living",1988,zh,/1mmwvJxDuvhxHfmveC6NrK6eUNQ.jpg,es_poster,si,""
287279,"The Missing Bride",1910,fr,/rgAd4zudWlbItkKNtLZF5XUgHj7.jpg,no_seguro,,""
287311,"Beloved Sister",2002,de,/5Xk9GDz7G3otO52VlV7qRqjsSY1.jpg,no_es_poster,,""
290795,"Maligno",1977,tl,/wvPUKdGhQ7dahONG3cwbpyWkkeB.jpg,es_poster,si,""
297160,"XX",2017,en,/drcIFTEIBnWI4G3OQt6rXOI8hf4.jpg,es_poster,si,""
300143,"The Rainbow Man",1949,ja,/22FFDLHqExTbuBNDc5ITIWexfW7.jpg,es_poster,si,""
300584,"Carranca",2014,pt,/3leakQkTaHQDqyag8BtHDbJadUS.jpg,no_es_poster,,""
301992,"Prison Pit: Book One",2014,en,/4Rox49oGHmFUMSfv1VTFD1NoAvH.jpg,es_poster,si,""
306951,"Haunted House",2011,en,/fnKfOeMBKCgBZ9OgxvQaIr60ooy.jpg,no_es_poster,,""
308037,"Vanadevatha",1976,ml,/atBm2T2EenGrpOdFfncmlccbaZc.jpg,es_poster,si,""
308259,"RE",2014,en,/jii5C9iGtY0a1YDHblnPFUzu0Vw.jpg,no_es_poster,,""
312831,"The Hallow",2015,en,/sOT4KqFPlvxTeEwyHOcn8agJnsI.jpg,es_poster,si,""
314364,"Sakthi",1980,en,/qVzs56c64BefTXP3B42hOdIdBJE.jpg,es_poster,si,""
315708,"Martins Feuer",2013,de,/pwamqGApVkgMMnHKSTkQ7ImtDV9.jpg,no_es_poster,,""
317578,"Haplos",1982,tl,/pY4tLA251A07IB7SvqCdw74euwQ.jpg,es_poster,si,""
317712,"The Legend of Sayo",1982,ja,/pDjqHUsqRkLF02G3duiwoDWC1vy.jpg,es_poster,si,""
317873,"Adam",1974,he,/6qV2WvZETYaikM5XK3O3hy89Mol.jpg,es_poster,si,""
318931,"The Witches",1927,xx,/dRMuNY7UNz60CiAzSjw4LRAyjJo.jpg,no_seguro,,""
319178,"Hatanosuke and the Haunted House",1935,ja,/ytQlx97f6JrnqENP2S649tV0gQU.jpg,es_poster,si,""
321738,"Cheondong",1973,en,/5phFtXBFUYeTxz2pAgVmvPJeTHy.jpg,es_poster,si,""
322055,"You Become a Star, Too",1975,ko,/sNZZfpANsNaC0o5fd883k4OipR0.jpg,no_es_poster,,""
322436,"Millennial Reincarnation",1998,ko,/7Rh2W5XfWoWM7cCrReTJESnnRq0.jpg,no_es_poster,,""
322530,"Fantastic Theater",2011,ko,/yZeNF1Ko3W0FT99czt3iC47EShk.jpg,es_poster,si,""
324021,"The Tale of Himeji Castle",1995,ja,/Aihtq7jeqLTR4Yyi8qAstjK1uXy.jpg,es_poster,si,""
327568,"We're in a Fight",2014,en,/whTFqF7yirYyhEMojLwtwCN21tW.jpg,no_es_poster,,""
328091,"The Eternal Present",2004,en,/6jEaZw4QD24zGVgVULGacjkfiAo.jpg,no_es_poster,,""
328141,"I Am Your Grandma",2011,en,/qcVudZ4HR3LSWgMWtNVzX0IqtBt.jpg,no_es_poster,,""
328963,"Shadow House",1973,en,/rF1HlIJOwe7HhAgaWjGOmE7VQzr.jpg,no_es_poster,,""
329134,"Massu Engira Maasilamani",2015,ta,/qXJTn2ZMhrbs4TawcZfoI2Ifwws.jpg,es_poster,si,""
329951,"The Adventures of Filfila",1966,ar,/A7gfsprcLW1Ik0qzmKo0eM4RAT3.jpg,no_seguro,si,""
330163,"Gorilla",1956,sv,/SFy5dcTFScwqeYm0blljzwk7lK.jpg,es_poster,si,""
330291,"T Is for Thread",2011,en,/jbwNrScECFhcOPXG7x57W08CCvR.jpg,no_es_poster,,""
330425,"Kanchana 2",2015,ta,/oBaVzegjQza23C1XCOMfnQRhplw.jpg,es_poster,si,""
333866,"The Man Who Became Coffee",2015,en,/pr909pMUZ0QiqWE0URPlu4WZH3z.jpg,no_es_poster,,""
335650,"Impurity",2015,en,/tP4VOxHYOxc3zrgrx4sx08rfTvr.jpg,es_poster,si,""
336048,"The Biggest Meatball in the World",2001,ru,/dCFrA7SDBVlHqHGdVRM9HbG9TUu.jpg,no_es_poster,,""
336766,"The Legend of the Scarecrow",2005,es,/1d2lWRqNpVBi2I3ITEVesbmwRSY.jpg,es_poster,si,""
336809,"Sangdil",1952,hi,/4GZWh21t0NZ0BfV7wqOUshmT6xY.jpg,es_poster,si,""
337029,"Frankenstein",2015,en,/kzTvgsGFd7zpGbwDsA4p8Nkdzj9.jpg,es_poster,si,""
337085,"Estranged",2015,en,/rxzm5G9XDs3OJzXk3gadLJlpdGw.jpg,es_poster,si,""
343041,"Lola",1914,en,/rymlclR44zMVlsQjlx1GF740Mc5.jpg,no_seguro,,""
343886,"Sweet Spirits of the Nighter",1941,en,/8ONqbdOlbkW2oZQtuy4FMU0xBct.jpg,no_es_poster,,""
344161,"Frankenstein",1940,en,/nSo9KplymuAAFjAFA9MBZui0wAZ.jpg,no_es_poster,,""
346364,"It",2017,en,/9E2y5Q7WlCVNEhP5GiVTjhEhx1o.jpg,es_poster,si,""
346986,"Feast Of Fools",2004,en,/7HpFcjuC1nr51k4hbAxPbFbqqRU.jpg,no_es_poster,,""
347206,"Vengeance of the Spirits",1911,fr,/3cEnFvsfHDAt1qShxh567qTP7w1.jpg,no_seguro,,""
348125,"Rodentia",2012,en,/Ag93GJJKdsTosBFMfV0I9KqAaHR.jpg,no_es_poster,,""
352675,"Pakalpooram",2002,ml,/1Mv9q2ZqHXxd7EuahuqTh323RBL.jpg,es_poster,si,""
353127,"Exit",1990,sv,/qLUuSOEtHpo2J4iPn8VjCfwalge.jpg,no_es_poster,,""
353484,"La chevelure",1961,fr,/6ndujddk7q7j1IVuQKJVEMfBBpo.jpg,no_es_poster,,""
354506,"Pulse",2010,en,/xtGQKAjMuXfFV3349b162PtXFqn.jpg,es_poster,si,""
355156,"Chiruri",2011,ja,/mGOIkgHfbeYk8l545R9l5M5jAOz.jpg,no_es_poster,,""
361554,"Don't Nag Me",1987,en,/sjFm06lKqZvGjbioIZYersoPql5.jpg,no_es_poster,,""
361945,"Sleepy Hollow",1911,en,/yvOClUlXpruMN3E4yzjStYA7Eh7.jpg,no_es_poster,,""
361988,"Bad Moon Rising",2011,en,/r9b4XFYCRiDPW2D0DJqFfnHTZvk.jpg,no_es_poster,,""
363164,"The Mummy",1911,en,/qb5bXnMDgdKT6rsEjhCFrxpyvzt.jpg,no_seguro,,""
369452,"Squid Festival",1993,ja,/twvFyU9Agi4FeSqNYZK6cIFDcpc.jpg,no_es_poster,,""
369819,"Sowkarpettai",2016,ta,/iRAaS9lwt521WBwlV7oXKr3L4gH.jpg,no_es_poster,,""
370067,"Vidayutham",2016,ta,/vtDCedGTgCwaTxdEJUeXKwXuCHe.jpg,es_poster,si,""
370311,"Fresh Acconci",1995,en,/psVzg6jWFJJn9AStVi9YlMZjgFh.jpg,no_es_poster,,""
370808,"Lesley the Pony Has an A+ Day!",2014,en,/pCjzO9BLbqQMbNLtyhtrr4jI5t3.jpg,no_es_poster,,""
370897,"Whistle Stop",2014,en,/up3Dca8ZiBr0FKbMv5r12nkCuvI.jpg,es_poster,,""
376094,"Doomed Disaster",2015,zh,/cZVIhol0xo1GbTb0OOhI2DXH46r.jpg,es_poster,si,""
377409,"Killer!",1989,en,/A9CeJkOff220TcWuUx4fqVNt17s.jpg,es_poster,si,""
377787,"The Present",2013,zh,/geYkFo1L3FnT3jYSiL89KOvykKZ.jpg,no_es_poster,,""
378020,"Recluse",2016,en,/7Of4oQqhgjeRGqsddVe2mXRPYqC.jpg,no_es_poster,,""
381283,"mother!",2017,en,/fjny9chXPx69ln1LMJxbwi5yHMt.jpg,es_poster,si,""
382290,"M・Y・F・A・C・E",2005,ja,/mZTQPrfjDBFiRCJOGAPSYRZdMjO.jpg,es_poster,si,""
383338,"Escape",2008,de,/5nPdp5LZMowrXqk2fQN2k3M4s8s.jpg,no_es_poster,,""
384197,"Mochibei",2005,ja,/c0DiiUF910vJKXBIohd9HRzLV2p.jpg,no_es_poster,,""
386396,"Mondomanila: Institusyon ng Makata",2004,tl,/3YAEns4nRHJcUJQJKa3ahZPDjKc.jpg,no_es_poster,,""
387063,"NDA",2015,en,/k5KxK5RSDW8cUIFwRYZoLqkXaZE.jpg,no_es_poster,,""
387737,"Maria's Stomach",1990,ja,/7ToJDpVAivomFZdO9J61ioFtf8g.jpg,es_poster,si,""
388994,"Ayla",2017,en,/9qJd7Fau4Ngw0XkyFjiAhFNDaeF.jpg,es_poster,si,""
390674,"Female Harakiri: Glorious Death",1989,ja,/fvwrnUvdek6YhtTqomxCfU6M5sS.jpg,es_poster,si,""
391529,"Jajo",1984,pl,/2yvBa6TmLW7UiwW8WJjE3Ajh4oy.jpg,es_poster,si,""
392193,"Soccer Moms in Peril!",2015,en,/sWAlGrKZ2yyH6zITuxKyoo6GZhK.jpg,no_es_poster,,""
392432,"Endless",2016,en,/t1lLx2HVnVrFsaPo490QXvYoQpa.jpg,es_poster,si,""
392569,"Aadupuliyattam",2016,ml,/tqu09JapP1T8Z5zzC1HgjfI1891.jpg,es_poster,si,""
392595,"Shadow Man",2004,en,/9ZqUzjeZC7o2d85GoffkbeKg3ga.jpg,no_es_poster,,""
394860,"Grimewave: Cockface III",2013,en,/aAaxkwfBC5igTgdDpsRmQPGNFUm.jpg,es_poster,si,""
396493,"Creep 2",2017,en,/a0m7WciFnBqpcyH1Yi8i4tdvk0k.jpg,es_poster,si,""
396550,"Sickhouse",2016,en,/p7L0A9rfnjNvpyA8mhGzAiTV1cl.jpg,es_poster,si,""
396818,"Visa to Hell",1991,zh,/5D35xFeHdHMboIpz5oU9FD1k9Pe.jpg,es_poster,si,""
398768,"White Clothing: Harakiri",1990,ja,/kFIO2l5cfvNj1xsJymmOCUE5caQ.jpg,es_poster,si,""
399118,"Night People",2015,en,/o7pscyTogn8Rob1mkF1FIHUgIz9.jpg,es_poster,si,""
399701,"Vampirisme",1967,fr,/zZtlVqIjKjW4QPQnKpoj3NBpJ9b.jpg,no_es_poster,,""
400342,"Judgement Tavern",2016,en,/kTIHerD1XTThNtxnSWZF8tsMiY1.jpg,no_es_poster,,""
401560,"View",2008,en,/uRQFpmeEnJucNBeYLHwgnFzdhVY.jpg,no_es_poster,,""
401714,"The Carnivore",2016,pt,/49jTLhanVYdarFOyeYOTHeiQo2H.jpg,no_es_poster,,""
402721,"Lollipop",2010,en,/nUKMjASrMD2MNtv679T04rZvigy.jpg,es_poster,si,""
403654,"Troublesome Night 13",2002,cn,/peifKhU3JkX81AgEm3QT6RpciOm.jpg,es_poster,si,""
406269,"Interrogation",1989,fr,/1xgFLH2biglCI4urZJPtIJ3Cinc.jpg,no_es_poster,,""
406275,"The Last Fly",1989,fr,/lJNFZWf6zlGxWVnwSTSvr6MRBGI.jpg,no_es_poster,,""
406591,"Hunters' Sense of Touch",1995,ja,/9oOLiXuzGRWgBjaZ8W6yia5NIZw.jpg,es_poster,si,""
409330,"Is It You?",2013,et,/jJyqSllv8MPwLvRb9ogNbVfCPhx.jpg,no_es_poster,,""
411279,"Pretham",2016,ml,/gzjXkR4nxfNz0AWCJgS7lZ49nlP.jpg,es_poster,si,""
412102,"Nenjam Marappathillai",2021,ta,/3hw8exDODhg55Gk046t4Igyr6dC.jpg,es_poster,si,""
412333,"Mohini",2018,ta,/fFTbwRo3vYvewwMDEalgDJcx5F8.jpg,es_poster,si,""
413951,"The Faceless Man",1977,ja,/43qo3fsxWYgP2iLQTRB0lPQ1CrX.jpg,es_poster,si,""
415175,"The Scavengers",1987,en,/6MzGKlFd9rH4rQ3aMz6PvMt5cOP.jpg,no_es_poster,,""
418939,"The Eye's Dream",2016,ja,/29jWQqbENRCfGeo3iM5HPyQwbw7.jpg,es_poster,si,""
419391,"Grýla",2016,is,/fShfedc778N32It4aywkZMC6oyk.jpg,no_es_poster,,""
420674,"BoF",2016,en,/1kYK4jsnrYNtevOFxPLMYX76wAV.jpg,no_es_poster,,""
421197,"Ghost of Nang Fa Thani",1967,th,/tIcNLsWnbUMto2QLGtuM39gKXyK.jpg,es_poster,si,""
422406,"Red Account: My Bloody Angel",1988,ja,/siDy5KCYEVOHvqp9V247LE8jWhC.jpg,es_poster,si,""
422947,"Snow Woman",2016,ja,/x91e6wIHRZ5vJqHHYrdZfPg2Gs5.jpg,es_poster,si,""
423344,"Eko Eko Azarak: R-Page",2006,ja,/ugUGssJKWkJJkuLBvFGqjL6kwWe.jpg,es_poster,si,""
423870,"Empire of Madness",1989,en,/7mP5cB6T1k62gLu1B0QSE0G5Sa4.jpg,es_poster,si,""
424222,"UFO: It Is Here",2016,de,/2GnEKeMaO4nwv9y5ijLgoHkCYIq.jpg,es_poster,si,""
424650,"Affection",2012,en,/4O1zYrteiJbGCHfj8O7rU3hT694.jpg,no_es_poster,,""
426063,"Nosferatu",2024,en,/5qGIxdEO841C0tdY8vOdLoRVrr0.jpg,es_poster,si,""
426293,"The Detail",2016,de,/ztJuVuDWBJq77vyUGb9zgnn1oFb.jpg,no_es_poster,,""
431109,"Inhumanwich!",2016,en,/6hyd50wCk9cOz642IBy6P0TTDeu.jpg,es_poster,si,""
432916,"The Ghost Photo Club",2015,ja,/hOiErt8dojhS06jhhvvtz951glb.jpg,es_poster,si,""
434325,"Claws",1996,el,/dICtyeMbiNdQnjDH3J6cd5wdI3S.jpg,no_es_poster,,""
437265,"The Gods Have a Nervous Breakdown",1990,ja,/gpdAIQROkA0kbkLl5oy9FDHbDqv.jpg,es_poster,si,""
438237,"Caracol, col, col",1995,es,/ma16rFqYse58Og3jrGYHCj6ZWEH.jpg,no_es_poster,,""
440255,"The Road",1964,en,/j4wQkPGAAPa1tWdeO83pEPmJJTx.jpg,no_es_poster,,""
440444,"Piercing",2019,en,/1iDIFMzYxY25X25KDeARA6VoDl3.jpg,es_poster,si,""
443151,"Crocodile Man 2",1969,km,/3NU4v1k9beeXV8SuUroEuWlZ95J.jpg,es_poster,si,""
443538,"A Strange Case",1914,de,/qsBBssvcpHKBrWzvL9iAagM1oxz.jpg,no_es_poster,,""
444483,"Vassalord.",2013,ja,/vyzS55N83jgDtgMeyYJOD7ppYMz.jpg,no_es_poster,,""
