id,title,model,text_you_read,verdict,reason,error
274105,Stabbing at Leia's 22nd Birthday,us.amazon.nova-pro-v1:0,Stabbing at Leia's 22nd Birthday,match,The title text on the poster matches the catalog listing exactly.,
300154,The Leap from the Water Tower,us.amazon.nova-pro-v1:0,the hazards of helen,mismatch,the title on the poster does not match the cataloged film title,
303480,鬼掩眼,us.amazon.nova-pro-v1:0,鬼掩眼,match,the title text matches the catalog listing,
320889,Alphamann: Amok,us.amazon.nova-pro-v1:0,ALPHAMANN,mismatch,"the title on the poster is 'ALPHAMANN', not 'Alphamann: Amok'",
323508,Angels Die Slowly,us.amazon.nova-pro-v1:0,angels die slowly,match,the title text on the poster matches the cataloged movie name,
344001,M Is for Malnutrition,us.amazon.nova-pro-v1:0,the abcs of death,mismatch,the title on the poster does not match the cataloged film title,
353154,Scary True Stories: Night Two,us.amazon.nova-pro-v1:0,SCARY TRUE STORIES,mismatch,the poster shows a different subtitle than the catalog,
353893,Perfect Alibi,us.amazon.nova-pro-v1:0,REEL TALENT,mismatch,the text on the poster does not match the cataloged film title,
378362,Mad God: Part 2,us.amazon.nova-pro-v1:0,MAD GOD,mismatch,the title on the poster does not match the cataloged title,
379100,M is for Merry Christmas,us.amazon.nova-pro-v1:0,the abcs of death,mismatch,the title on the poster does not match the cataloged film title,
379599,Obsessed,us.amazon.nova-pro-v1:0,,no_title_on_poster,no legible title text found on the poster,
395328,Alphamann: Die Selbstmörderin,us.amazon.nova-pro-v1:0,ALPHAMANN,mismatch,the title on the poster does not match the cataloged title,
408054,M is for Marble,us.amazon.nova-pro-v1:0,ABCs of Death,mismatch,the title text on the poster does not match the cataloged film title,
408055,M is for Messiah,us.amazon.nova-pro-v1:0,the abcs of death,mismatch,the title on the poster does not match the cataloged film title,
431873,The Painting of Horror,us.amazon.nova-pro-v1:0,the painting of horror!,match,the title on the poster matches the catalog listing,
432055,The Kind of Meat You Can't Buy at the Store,us.amazon.nova-pro-v1:0,the kind of meat you can't buy in the store!,mismatch,the title on the poster is different from the catalog listing,
439994,Charles Augustus Milverton,us.amazon.nova-pro-v1:0,the further adventures of sherlock holmes,mismatch,the title on the poster does not match the cataloged film title,
453803,Doctor Mabuse,us.amazon.nova-pro-v1:0,the doctor mabuse collection,match,the title on the poster matches the catalog entry,
453836,Doctor Mabuse: Etiopomar,us.amazon.nova-pro-v1:0,the doctor mabuse collection,mismatch,the title on the poster does not match the catalog listing,
502613,M Is for Manure,us.amazon.nova-pro-v1:0,ABCs of Death,mismatch,the title on the poster is different from the cataloged title,
534671,Run to Delirium,us.amazon.nova-pro-v1:0,RUN TO DELIRIUM,match,the title text on the poster matches the catalog listing,
534676,Run to Delirium,us.amazon.nova-pro-v1:0,RUN TO DELIRIUM,match,the title text on the poster matches the catalog listing,
542208,The Saint: The Brazilian Connection,us.amazon.nova-pro-v1:0,the saint,mismatch,the title on the poster does not match the cataloged title,
551407,Inner Depravity,us.amazon.nova-pro-v1:0,Inner Depravity,match,the title text matches the catalog listing,
551409,Inner Depravity 2,us.amazon.nova-pro-v1:0,Remy Couture's INNER DEPRAVITY,mismatch,the title on the poster is different from the catalog title,
565446,The Teenage Frankenstein,us.amazon.nova-pro-v1:0,,no_title_on_poster,no title text present on the poster,
565457,The Teenage Frankenstein Meets the Teenage Werewolf,us.amazon.nova-pro-v1:0,,no_title_on_poster,no title text present on the poster,
568407,Mad God: Part 3,us.amazon.nova-pro-v1:0,MAD GOD,mismatch,the title on the poster does not match the cataloged title,
620251,Kamen Rider BiBiBi no Bibill Geiz,us.amazon.nova-pro-v1:0,カメンライダーバィビビのビビルゲイズ,match,the title on the poster matches the cataloged film title,
645023,Dr. Hikojiro,us.amazon.nova-pro-v1:0,ヒコジろー,match,the title text matches the catalog entry,
647164,Dr. Hikojiro 2,us.amazon.nova-pro-v1:0,ヒコジロー,match,the title text matches the catalog entry,
672288,Identity V STAGE Episode 1 [What to draw] Side:H,us.amazon.nova-pro-v1:0,IdentityV STAGE,mismatch,the title on the poster is different from the catalog listing,
672290,Identity V STAGE Episode 1 [What to draw] Side:S,us.amazon.nova-pro-v1:0,Identity V STAGE,match,the title on the poster matches the catalog entry,
685554,Day of Chaos: The Visual Effects of 'Dredd',us.amazon.nova-pro-v1:0,Dredd 3D,mismatch,"the title on the poster is 'Dredd 3D', not 'Day of Chaos: The Visual Effects of 'Dredd''",
685555,Mega City Masters: 35 Years of Judge Dredd,us.amazon.nova-pro-v1:0,DRED 3D,mismatch,the title on the poster does not match the cataloged film title,
685646,Visions of 'The Happening',us.amazon.nova-pro-v1:0,the happening,mismatch,"the title on the poster is 'the happening', not 'visions of 'the happening'",
685649,The Happening: A Day for Night,us.amazon.nova-pro-v1:0,the happening,mismatch,the catalog title does not match the title on the poster,
690746,Kamen Rider BiBiBi no BibillGeiz,us.amazon.nova-pro-v1:0,カメンライダービビビのビビルゲイズ,match,the title text on the poster matches the cataloged film title,
705698,The Saint: Fear in Fun Park,us.amazon.nova-pro-v1:0,the saint,mismatch,the title on the poster does not match the cataloged film title,
732231,Castle Ghosts of England,us.amazon.nova-pro-v1:0,Castle Ghosts,mismatch,the title on the poster is more general than the cataloged title,
732232,Castle Ghosts of Ireland,us.amazon.nova-pro-v1:0,Castle Ghosts,mismatch,the title on the poster is different from the cataloged film title,
732234,Castle Ghosts of Wales,us.amazon.nova-pro-v1:0,Castle Ghosts,mismatch,the title on the poster is different from the catalog listing,
771221,Wolfsland - Kein entkommen,us.amazon.nova-pro-v1:0,WOLFSLAND,match,the title on the poster matches the cataloged title,
774330,Wolfsland - Das Kind vom Finstertor,us.amazon.nova-pro-v1:0,DONNERSTAGKRIMI im Ersten WOLFSLÄND,mismatch,the title on the poster does not match the cataloged title,
782719,Enemies: Against the Clock,us.amazon.nova-pro-v1:0,enemies,match,the title on the poster matches the catalog entry,
788633,Enemies: The Confession,us.amazon.nova-pro-v1:0,enemies,mismatch,"the catalog title is 'Enemies: The Confession', but the poster only shows 'enemies'",
790737,The Second Stain,us.amazon.nova-pro-v1:0,the further adventures of sherlock holmes,mismatch,the title on the poster does not match the cataloged film title,
790739,The Red Circle,us.amazon.nova-pro-v1:0,The FURTHER Adventures of SHERLOCK HOLMES,mismatch,the title on the poster does not match the cataloged film title,
790742,The Six Napoleons,us.amazon.nova-pro-v1:0,The FURTHER Adventures of SHERLOCK HOLMES,mismatch,the title on the poster does not match the cataloged film title,
791027,The Greek Interpreter,us.amazon.nova-pro-v1:0,The FURTHER Adventures of SHERLOCK HOLMES,mismatch,the title on the poster does not match the cataloged film title,
810161,Live Bait,us.amazon.nova-pro-v1:0,BITE SIZE HALLOWEEN,mismatch,the title on the poster does not match the cataloged film title,
831541,Der Masuren-Krimi - Fryderyks Erbe,us.amazon.nova-pro-v1:0,MASUREN KRIMI,mismatch,the title on the poster differs from the cataloged title,
832749,Tales of the Bizarre: Christmas Eve Special,us.amazon.nova-pro-v1:0,怪談の館,mismatch,the title text on the poster does not match the cataloged film title,
832874,Ring,us.amazon.nova-pro-v1:0,RING,match,the title text on the poster matches the catalog listing,
833559,Der Masuren-Krimi - Fangschuss,us.amazon.nova-pro-v1:0,MASUREN KRIMI,mismatch,the title on the poster does not exactly match the cataloged title,
835457,Vine Trailer,us.amazon.nova-pro-v1:0,,,,"HTTPSConnectionPool(host='image.tmdb.org', port=443): Read timed out."
838630,VINE,us.amazon.nova-pro-v1:0,VINE,match,The title 'VINE' is clearly visible on the poster.,
840503,Ring,us.amazon.nova-pro-v1:0,RING,match,the title text on the poster matches the catalog listing,
876269,Aylesbury Dead,us.amazon.nova-pro-v1:0,DEAD,mismatch,"the title on the poster is 'DEAD', not 'Aylesbury Dead'",
877165,The Sick Sex Mutants From Space,us.amazon.nova-pro-v1:0,CARL J. SUKENiCK ViDeO,mismatch,the title on the poster does not match the cataloged film title,
877626,Aylesbury Dead 2,us.amazon.nova-pro-v1:0,DEAD,mismatch,"the title on the poster is 'DEAD', not 'Aylesbury Dead 2'",
889022,Among the Counterfeiters,us.amazon.nova-pro-v1:0,nick carter is coming to your cinema,mismatch,the title on the poster does not match the cataloged film title,
893555,Panzer World Galient: Chapter of the Land,us.amazon.nova-pro-v1:0,パンツァーワールドガリアン,match,the title text on the poster matches the catalog entry,
893560,Panzer World Galient: Chapter of the Sky,us.amazon.nova-pro-v1:0,パンツァーワールドガリアン,match,The title 'Panzer World Galient' matches the catalog listing.,
893563,Panzer World Galient: Crest of Iron,us.amazon.nova-pro-v1:0,パンゼル 世界のガリエン,mismatch,the title on the poster is different from the cataloged title,
918768,Sheila Scorned,us.amazon.nova-pro-v1:0,ETHERIA,mismatch,"the title on the poster is 'ETHERIA', not 'Sheila Scorned'",
919073,Home Run,us.amazon.nova-pro-v1:0,SCREEN ONE,no_title_on_poster,"The text 'SCREEN ONE' is present, but it does not match the film title 'Home Run'.",
919092,Dark City,us.amazon.nova-pro-v1:0,SCREEN ONE,no_title_on_poster,The text on the poster does not match the film title 'Dark City'.,
919335,Cowboy Kill Club,us.amazon.nova-pro-v1:0,ETHERIA,mismatch,"the title on the poster is 'ETHERIA', not 'Cowboy Kill Club'",
919471,Knockback: 1,us.amazon.nova-pro-v1:0,KNOCKBACK,match,the title text on the poster matches the catalog entry,
919476,Knockback: 2,us.amazon.nova-pro-v1:0,KNOCKBACK,mismatch,"the poster says 'KNOCKBACK', not 'Knockback: 2'",
937663,Lesbian Beasts 5000 AD,us.amazon.nova-pro-v1:0,CARL J. SUKENiCK ViDeO,mismatch,the title on the poster does not match the cataloged film title,
940617,Tales of the Bizarre: 2004 Spring Special,us.amazon.nova-pro-v1:0,第一利品剧語：大六分版,mismatch,the title text on the poster does not match the cataloged film title,
940620,Tales of the Bizarre: 2004 Fall Special,us.amazon.nova-pro-v1:0,策划現行大全部,mismatch,the title text on the poster does not match the cataloged title,
941023,Tales of the Bizarre: 2003 Fall Special,us.amazon.nova-pro-v1:0,第一利的天上的天,mismatch,the title text on the poster does not match the cataloged film title,
947319,The Death Train,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the catalog listing,
947328,The Capture of Red Stanley,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster does not match the cataloged film title,
947331,The Treasure Train,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
947332,The Mysterious Cipher,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
948842,The Bridge of Danger,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a movie title,
948844,The Human Telegram,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
948846,The Race for a Siding,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
948849,The Record Run,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
948851,The Trapping of 'Peeler' White,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
948890,The Detective's Peril,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
949114,The Plot at the Railroad Cut,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text read is not the film title,
949127,The Girl at the Throttle,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the catalog title,
949777,The Flying Freight's Captive,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
949822,The Black Diamond Express,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text read is not the film title,
949869,The Escape on the Limited,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text read does not match the film title,
949872,The Girl Telegrapher's Peril,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
949874,The Broken Circuit,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text read does not match the cataloged film title,
950032,The Fast Mail's Danger,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
950034,The Little Engineer,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text read does not match the cataloged title,
950035,The Red Signal,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
950184,The Engineer's Peril,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
950188,The Open Drawbridge,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
950190,The Railroad Raiders of '62,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
950191,The Girl at Lone Point,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the catalog listing,
950342,A Life in the Balance,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
950343,The Girl on the Trestle,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
950344,The Girl Engineer,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged title,
950345,A Race for a Crossing,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
950347,The Box Car Trap,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
950356,The Fiend at the Throttle,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged title,
950361,The Night Operator at Buxton,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
950364,The Broken Train,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster is different from the catalog listing,
950368,The Human Chain,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster is different from the cataloged film title,
950533,Near Eternity,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
950535,The Midnight Limited,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
950537,A Wild Ride,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
950689,A Deed of Daring,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged title,
951449,The Girl on the Engine,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster is different from the cataloged film title,
951452,The Fate of Number One,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
951453,The Substitute Fireman,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster does not match the cataloged film title,
951454,The Limited's Peril,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
951455,A Perilous Chance,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the catalog listing,
951976,Train Order Number Forty-Five,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
951979,The Broken Rail,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster is different from the catalog listing,
951981,A Girl's Grit,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged title 'A Girl's Grit',
951984,A Matter of Seconds,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
951987,The Runaway Boxcar,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
952045,Anal Paprika 2: Vampire Killers,us.amazon.nova-pro-v1:0,Anal Paprika 2&3,mismatch,the title on the poster is different from the catalog listing,
952054,Anal Paprika 3: Menage-A-Death,us.amazon.nova-pro-v1:0,Anal Paprika 283,mismatch,the number is different,
952166,The Watertank Plot,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,"the text on the poster is a series name, not a film title",
952171,A Test of Courage,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged title,
952303,A Mile a Minute,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
952321,The Rescue of the Brakeman's Children,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
952329,Danger Ahead!,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the catalog listing,
952332,The Girl and the Special,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the text on the poster does not match the cataloged film title,
952337,The Girl on the Bridge,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
952339,The Dynamite Train,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster is different from the catalog listing,
952342,The Tramp Telegrapher,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
952404,Crossed Wires,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the catalog listing,
952405,A Boy at the Throttle,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
952416,The Broken Brake,us.amazon.nova-pro-v1:0,HELEN GIBSON SILENT SERIAL QUEEN,no_title_on_poster,The text on the poster does not match the catalog title 'The Broken Brake'.,
952642,At the Risk of Her Life,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
952645,When Seconds Count,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
952651,The Haunted Station,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
952659,Tapped Wires,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
952664,The Broken Wire,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
952666,The Peril of the Rails,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
952668,The Perilous Swing,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
952670,The Switchman's Story,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
952673,The Girl Telegrapher's Nerve,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
952686,A Race for a Life,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged title,
952873,The Girl Who Dared,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
953119,The Trail of Danger,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
953125,The Spiked Switch,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster does not match the cataloged film title,
953127,A Race Through the Air,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged title,
953128,The Engineer's Honor,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
953617,To Save the Road,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
953623,The Broken Brake,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
953923,A Mystery of the Rails,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged title,
953925,Hurled Through the Drawbridge,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not the film title,
953996,With the Aid of the Wrecker,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged title,
953998,At Danger's Call,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
953999,The Secret of the Box Car,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
954001,Ablaze on the Rails,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged title,
954002,The Hoodoo of Division B,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged title,
954005,Defying Death,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
954008,The Death Swing,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
954009,The Blocked Track,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster does not match the cataloged film title,
954243,To Save the Special,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the catalog listing,
954245,A Daring Chance,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged title,
954271,The Lost Messenger,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster does not match the cataloged film title,
954296,The Gate of Death,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
954297,The Lone Point Mystery,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
954302,The Runaway Sleeper,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
954305,The Forgotten Train Order,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,"the text on the poster is a series name, not a film title",
954310,The Trial Run,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
954321,The Lineman's Peril,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
954727,The Vanishing Box Car,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
954732,A Race with Death,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged title,
954733,The Mogul Mountain Mystery,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
954844,The Fireman's Nemesis,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster is not a film title,
954876,The Wrecked Station,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster does not match the catalog title,
955116,The Railroad Claim Intrigue,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,no_title_on_poster,the text on the poster does not match the cataloged film title,
955195,The Prima Donna's Special,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
955198,The Sidetracked Sleeper,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
955201,The Death Siding,us.amazon.nova-pro-v1:0,an episode in the hazards of helen series,mismatch,the title on the poster does not match the cataloged film title,
971215,Biedronka Nights,us.amazon.nova-pro-v1:0,BIEDRONKA NIGHTS,match,the title text on the poster matches the catalog exactly,
971222,Biedronka Nights,us.amazon.nova-pro-v1:0,BIEDRONKA NIGHTS,match,the title text on the poster matches the catalog listing,
