id,title,mega_title_text,mega_blood_gore,mega_violence,mega_sexual_content,mega_sensitive,error
265067,Vampire,Vampire,0.0,0.0,0.7,sexual,
237449,Four,4,0.0,0.7,0.0,violence,
255537,Ashes of Doom,Ashes of Doom,0.0,0.0,0.0,none,
250883,Nak,X64,0.0,0.0,0.0,none,
245492,Geethanjali,,0.0,0.1,0.0,violence,
240157,Devadoothan,CBññññ,0.0,0.0,0.0,none,
166201,Bog,BOC,0.0,0.0,0.0,none,
163617,Ghosts,,0.0,0.0,0.0,none,
243837,Hotel,Hotel,0.0,0.0,0.2,none,
257567,Vanished: Age 7,,0.0,0.0,0.2,none,
194809,Anandabhadram,Kanmashi,0.0,0.0,0.0,none,
211258,Wax,WAX,0.8,0.8,0.2,violence|gore,
262872,Coyote,Go Vote,0.0,0.0,0.0,none,
250417,Clay,Clay,0.8,0.6,0.0,violence|gore,
255291,Animosity,ANIMOST,0.0,0.0,0.0,none,
253477,Torture Chamber,Torture Chamber,0.0,0.8,0.0,violence,
260704,Birthright,,0.0,0.0,0.0,none,
300143,The Rainbow Man,,0.0,0.1,0.2,occult,
266539,Kamen Rider Amazon: The Movie,Kamen Rider,0.0,0.5,0.0,violence,
51248,11-11-11,,0.0,0.0,0.0,occult,
301992,Prison Pit: Book One,Prison Bitch,0.1,0.1,0.1,violence|gore|occult,
254250,Till Death Do We Scare,,0.0,0.0,0.0,none,
279237,Bake Jizo,,0.0,0.0,0.0,none,
285981,A Dead Man Visits the Living,,0.0,0.0,0.0,none,
319178,Hatanosuke and the Haunted House,,0.0,0.0,0.0,none,
330163,Gorilla,Gorilla,0.0,0.3,0.0,violence,
290795,Maligno,MALIGNO!,0.1,0.3,0.0,violence|gore,
314364,Sakthi,Kala Pani,0.0,0.1,0.0,none,
262600,Shock,Otito,0.0,0.1,0.0,none,
312831,The Hallow,The Hallow,0.0,0.5,0.0,violence|occult,
317873,Adam,,0.0,0.0,0.0,none,
336766,The Legend of the Scarecrow,La Leyenda de Espantapajaros,0.0,0.0,0.0,none,
256030,Muck,MUCK,0.3,0.5,0.0,violence|gore,
321738,Cheondong,,0.0,0.0,0.0,none,
335650,Impurity,impurity,0.0,0.2,0.1,violence,
330425,Kanchana 2,Bahubali 2,0.0,0.1,0.0,violence,
346364,It,,0.0,0.0,0.0,occult,
297160,XX,,0.0,0.0,0.8,sexual,
352675,Pakalpooram,Sundargarh,0.0,0.0,0.0,none,
276488,Let Us Prey,Let the Right One In,0.5,0.4,0.0,violence|gore,
324021,The Tale of Himeji Castle,,,,,,Invalid \uXXXX escape: line 3 column 573 (char 624)
354506,Pulse,Pulse,0.0,0.0,0.0,none,
376094,Doomed Disaster,,0.5,0.5,0.3,violence|gore|sexual,
370897,Whistle Stop,,0.0,0.0,0.0,none,
337029,Frankenstein,Frankenstein,0.3,0.2,0.0,violence|gore,
270478,Konthayum Poonoolum,,,,,,Unterminated string starting at: line 5 column 17 (char 79)
322530,Fantastic Theater,,0.0,0.1,0.0,none,
283419,Island of Hell,,0.0,0.3,0.2,violence|sexual,
377409,Killer!,Killer,0.8,0.7,0.0,violence|gore,
337085,Estranged,E2TRANGED,0.5,0.3,0.0,violence|gore,
308037,Vanadevatha,,0.0,0.0,0.0,none,
392432,Endless,endless,0.0,0.0,0.0,none,
329134,Massu Engira Maasilamani,Aamdani Atthanni Kharcha Rupaiya,0.0,0.0,0.0,none,
269588,Km 31-2,Kōji 2,0.7,0.6,0.0,violence|gore|occult,
381283,mother!,Mother!,0.7,0.5,0.3,violence|gore|occult,
382290,M・Y・F・A・C・E,,0.0,0.0,0.0,none,
370067,Vidayutham,2 Carlos,0.0,0.5,0.0,violence,
336809,Sangdil,SANGDIIL,0.0,0.0,0.0,none,
396493,Creep 2,Creep 2,0.0,0.0,0.0,none,
391529,Jajo,JADO,0.0,0.0,0.0,none,
396550,Sickhouse,Sickhouse,0.0,0.0,0.0,none,
317712,The Legend of Sayo,,,,,,Invalid \uXXXX escape: line 3 column 579 (char 624)
387737,Maria's Stomach,,0.0,0.0,0.6,sexual,
402721,Lollipop,Lollipop,0.0,0.0,0.0,none,
317578,Haplos,HAPLOS,0.0,0.0,0.0,none,
227992,Necronomica,,0.0,0.0,0.0,occult,
388994,Ayla,Aya,0.0,0.0,0.5,nudity,
398768,White Clothing: Harakiri,,0.0,0.0,0.0,none,
411279,Pretham,,0.0,0.0,0.0,occult,
424222,UFO: It Is Here,UFO,0.0,0.0,0.0,none,
394860,Grimewave: Cockface III,Grimewave,0.9,0.8,0.7,violence|gore|nudity|sexual,
422947,Snow Woman,,0.0,0.0,0.0,none,
418939,The Eye's Dream,,0.0,0.0,0.0,none,
399118,Night People,Night People,0.0,0.0,0.0,none,
412102,Nenjam Marappathillai,,0.0,0.0,0.0,none,
392569,Aadupuliyattam,,0.0,0.0,0.0,none,
448194,Pyewacket,Pyewackett,0.5,0.5,0.0,violence|gore,
406591,Hunters' Sense of Touch,,0.0,0.0,0.8,nudity|sexual,
426063,Nosferatu,Nosferatu,0.0,0.0,0.0,occult,
423344,Eko Eko Azarak: R-Page,,0.0,0.0,0.0,occult,
413951,The Faceless Man,,0.0,0.0,0.0,none,
390674,Female Harakiri: Glorious Death,,0.0,0.0,0.1,nudity,
450157,Urban Spirit Legend: Psychic Factory,阿阿阿阿阿,0.0,0.0,0.0,occult,
443151,Crocodile Man 2,,0.0,0.0,0.0,none,
450523,The Ghostly Murderer,,0.0,0.1,0.1,violence,
412333,Mohini,Blond:ish,0.0,0.3,0.5,nudity|occult,
403654,Troublesome Night 13,,0.0,0.1,0.1,violence|occult,
458716,Juego de niñas,Luces y Sombras,0.0,0.1,0.3,nudity|sexual,
452472,Insomnia,INSOMNIE,0.0,0.0,0.0,none,
431109,Inhumanwich!,Inhumanwich!,0.7,0.5,0.0,violence|gore,
450515,The Night the Spirit Returns,,0.0,0.0,0.0,none,
422406,Red Account: My Bloody Angel,,,,,,Invalid \uXXXX escape: line 3 column 567 (char 624)
450934,Mokdugi Video,,0.0,0.0,0.0,occult,
479876,Emma,EMMA,0.0,0.0,0.0,none,
437265,The Gods Have a Nervous Breakdown,,0.0,0.0,0.0,none,
450512,Strange Tale at Midnight,,0.0,0.0,0.0,none,
421197,Ghost of Nang Fa Thani,Uduwātēlē,0.0,0.0,0.5,nudity,
505330,The Mother's Island,,0.0,0.0,0.0,none,
506952,Raydon,Raydon,0.8,0.5,0.0,violence|gore,
478149,GARO: Fang of God,,0.0,0.7,0.0,violence,
452250,Sivalinga,,0.0,0.1,0.0,none,
480529,Popstars,,0.0,0.0,0.0,none,
440444,Piercing,Piercing,0.5,0.3,0.2,violence|gore,
432916,The Ghost Photo Club,,0.6,0.5,0.0,violence|gore,
496292,Umbilical Glue,Satan's Slaves,0.0,0.0,0.0,none,
464261,Heaven and Hell,,0.7,0.6,0.5,violence|gore|sexual,
464879,Cabin 28,Cabin 28,0.1,0.7,0.0,violence|gore|occult,
468014,Mythily Veendum Varunnu...,Anjali,0.8,0.7,0.0,violence|gore,
498062,Luz,FUCK,0.0,0.1,0.8,sexual,
482192,Damsels,DAMSEI,0.0,0.0,0.0,occult,
483417,Dark Side of the Light,,0.0,0.0,0.0,none,
482919,The Anonymous Phone Call,,0.0,0.0,0.0,none,
463532,Raktharakshassu,3D,0.0,0.0,0.0,none,
522987,Inside Evil,Inside Evil,0.0,0.0,0.0,none,
484499,Keep Out of Danger,,0.8,0.7,0.5,violence|gore|sexual,
494445,Bloodrape,Bloodrape,0.7,0.6,0.5,violence|gore|sexual,
512270,Shadow,Gandharwa,0.0,0.0,0.0,occult,
513372,Hoax,Hoax,0.0,0.0,0.0,none,
485751,Agony,Agony,0.0,0.1,0.0,none,
526783,I Will Never Forgive,,0.8,0.7,0.0,violence|gore,
396818,Visa to Hell,,0.0,0.7,0.0,violence,
527132,Chumbo,C#M#D,0.5,0.5,0.0,violence|gore,
526677,The Rope Maiden,,0.9,0.7,0.5,gore|nudity|sexual,
514101,Ambassador of Hell,,0.0,0.0,0.0,none,
546711,Unplugging Nightmare,,0.0,0.1,0.0,occult,
480406,Açúcar,AÇÜCAR,0.0,0.0,0.0,none,
498580,Kanchana 3,,0.8,0.7,0.0,violence|gore,
534161,Dan xiao bie kan,,0.0,0.0,0.5,nudity|sexual,
542274,Abhisaarike,Bimbisara,0.0,0.0,0.0,none,
547034,Vellinakshatram,,0.0,0.0,0.0,none,
485789,Bhaagamathie,,0.8,0.7,0.6,violence|gore|sexual,
514277,Mara,Mara,0.1,0.2,0.0,violence|occult,
555694,Road Meat,Meat,0.8,0.6,0.2,violence|gore|occult,
542580,Investigation 13,13 Investigation,0.5,0.3,0.0,violence|gore,
528146,Aathma Bandhana,332003,0.0,0.0,0.0,occult,
513665,Onaaigal Jakkiradhai,,0.2,0.3,0.0,violence|gore,
525490,Shadowland,SHADOWLAND,0.0,0.0,0.0,none,
529087,Taoist from the Mountains,,0.5,0.6,0.0,violence|gore|occult,
584466,My Love,,0.0,0.0,0.0,none,
530571,Asoko no seki,,0.0,0.0,0.0,none,
584682,Daydream,,0.0,0.0,0.8,nudity|sexual,
623520,Z,Z,0.0,0.0,0.0,none,
524432,Devil Boy,,0.0,0.1,0.0,none,
611636,Stucco,Stuck,0.7,0.6,0.0,gore|violence,
565481,The Decayed,THE DECAYED,0.0,0.7,0.0,violence,
548784,Hell Girl,,0.2,0.3,0.0,violence|occult,
650248,Nycto,NY C+O,0.0,0.0,0.0,none,
659822,VI,,0.0,0.0,0.0,none,
664049,Jasu,,0.8,0.7,0.0,violence|gore,
632259,RETCH,RETCH,0.0,0.0,0.0,violence,
542104,Kinavalli,2018,0.0,0.0,0.0,none,
605802,8,,0.0,0.0,0.0,occult,
622488,Gegege no Kitaro: The Great Yokai War,これはにとのないないない,0.0,0.5,0.0,violence,
625213,The Faceless Man,The Faceless Moon,0.7,0.6,0.0,violence|gore,
697402,Zombie Attack,Zombie Attack,0.3,0.4,0.0,violence|gore,
603431,Spooky Kitaro,,0.0,0.0,0.0,none,
639495,Chloroformed,CHILDUNAMED,0.0,0.0,0.8,nudity|sexual,
423870,Empire of Madness,2,0.1,0.2,0.1,violence|gore|occult,
689918,Cursed One-Piece,,0.0,0.0,0.7,sexual,
708591,8cho,,0.0,0.0,0.0,none,
609323,Kawarasaki Family,,0.5,0.3,0.7,nudity|sexual,
616185,The Urban Legend of Sugisawa Village,,,,,,Invalid \uXXXX escape: line 5 column 421 (char 655)
666771,Him,H.I.M.,0.5,0.3,0.0,violence|gore,
536026,Trunk,,,,,,"HTTPSConnectionPool(host='image.tmdb.org', port=443): Read timed out. (read timeout=15)"
745282,Prey,PREY,0.0,0.0,0.0,none,
649274,The Blood Alligator,,0.1,0.7,0.1,violence,
612811,Lingchi: Echoes of a Historical Photograph,,0.0,0.0,0.0,none,
726239,Dead,DEAD,0.0,0.0,0.0,none,
655435,FEEL,FEEL,0.0,0.0,0.0,none,
730103,The Human Vapor,,0.0,0.0,0.0,none,
741808,The Truth of Grimm Brother's Fairy Tales,,0.0,0.0,0.5,nudity,
729565,The Tiller,,0.0,0.1,0.0,none,
742948,Pieces of Me,,0.5,0.5,0.0,violence|gore,
730375,Shizuka na ayashii gogo ni,,0.0,0.0,0.0,none,
607137,Momo,DAMNED,0.0,0.0,0.0,none,
713504,Blind Date,Blind Date,0.7,0.6,0.0,violence|gore,
752819,Blood Bath,BLOOD BATH,0.8,0.7,0.0,violence|gore,
772139,Keep Forgetting,,0.0,0.0,0.0,none,
764923,Honto ni Atta Gakkou Kaidan,これからのののの,0.0,0.0,0.0,none,
770382,3 AM,BAM,0.0,0.0,0.0,none,
717972,Flick,FLICK,0.1,0.0,0.0,disgusting|gross,
767152,Stiff,Staff,0.0,0.0,0.0,none,
778521,Devil Boy: Welcome to Devil Land!!,,0.0,0.0,0.0,none,
741592,Cyst,GIST,0.8,0.7,0.0,gore|violence,
732136,Miporin,,0.0,0.0,0.0,none,
789859,HER,SIE,0.0,0.0,0.0,none,
638210,My Girlfriend is a Serial Killer,,0.0,0.0,0.0,none,
821501,Shapeless,Shapeless,0.0,0.0,0.0,none,
850372,Ş,,0.0,0.0,0.0,none,
842120,The Rotting Woman,,0.5,0.5,0.0,violence|gore,
799177,Bhediya,Bhediya,0.1,0.2,0.0,violence|occult,
795962,Zonmi-chan: Meat Pie of the Dead,,,,,,Invalid \uXXXX escape: line 5 column 584 (char 650)
823491,Out of Darkness,Out of Darkness,0.0,0.0,0.0,none,
790257,Horror News,,0.8,0.7,0.0,violence|gore,
848483,Flowing,P L O V E,0.0,0.0,0.0,none,
771390,Macabre Night,Noite Macabra,0.0,0.7,0.0,violence,
812822,Feast of Burden,,0.2,0.3,0.0,violence|gore,
845831,He Rang,RANGE,0.7,0.6,0.0,violence|gore,
850127,GH5,GH5,0.8,0.7,0.0,violence|gore,
860458,Overnight. Friday,HOULET,0.8,0.7,0.6,gore|nudity|sexual,
838474,Hitam,HITAM,0.8,0.7,0.5,gore|nudity,
790252,Eko Eko Azarak,HMY,0.0,0.0,0.0,occult,
822821,Naaye Paeye,Bheemla Nayak,0.1,0.3,0.2,violence|gore|sexual,
863171,Tixie,TIXIE,0.1,0.1,0.0,violence|gore,
843898,She Came from the Woods,She Came From The Woods,0.7,0.6,0.0,violence|gore,
800984,BUSSY,,0.0,0.0,0.0,none,
813313,Big Octopus,,0.0,0.1,0.0,violence|none,
753248,The Living Corpse,,0.0,0.0,0.2,occult,
836519,Horror News,,0.0,0.2,0.0,violence,
882218,Wolf Pup,WOLFUP,0.0,0.0,0.0,none,
852830,Torn Hearts,Torn Hearts,0.0,0.0,0.0,none,
893955,Vanam,Drishyam 2,0.0,0.1,0.0,violence,
877600,Cinderella,Aval Peyar Thamizharasi,0.0,0.0,0.0,none,
904356,Japanese Archipelago: Horror Ghost Zone,,0.0,0.0,0.0,none,
911700,Shin Gakkou no Yuurei,,0.0,0.1,0.0,occult,
877255,Big Shark,,0.8,0.7,0.1,violence|gore,
875522,Journey Beyond the Night,,0.0,0.0,0.0,none,
854328,Psychic Voyeur Video Cursed Appreciation Party,,0.7,0.6,0.3,gore|occult,
918045,El Sexto,,0.0,0.0,0.0,,
855302,Erotic Ghost Enamoured,,0.0,0.1,0.2,sexual,
835786,Giant Spider,,0.1,0.8,0.0,violence,
877832,Pei Mama,BucJunon,0.6,0.7,0.3,violence|gore,
850236,Chuzhal,,0.0,0.0,0.0,none,
911354,Scarlet Demon,,0.0,0.0,0.2,occult,
912650,Vardøger,Mortus,0.1,0.2,0.0,occult,
935076,Super Girl Maria,,0.0,0.0,0.0,occult,
889839,Ragtime,Ractime,0.0,0.1,0.0,none,
945920,Six,,0.8,0.6,0.2,violence|gore,
851731,Kumari,,,,,,Unterminated string starting at: line 5 column 17 (char 79)
923635,Shin Hedorah,,0.0,0.0,0.0,occult,
911731,Youkai Ningen Bem: Part II,,0.2,0.3,0.1,violence|occult,
941189,Nav,HABU,0.0,0.0,0.0,none,
938133,Bldg. N,N,0.0,0.0,0.0,none,
921935,Ballabhpurer Roopkotha,Aagomon,0.0,0.0,0.0,none,
952280,Kalo Chhaya,EK RAAT,0.0,0.6,0.0,violence,
950950,Shennong Savage,,0.2,0.8,0.1,violence|none,
911708,Star of David,,0.0,0.7,0.8,violence|sexual|occult,
970106,Story of Jang-hwa and Hong-ryeon,,0.0,0.1,0.0,none,
949909,Kuntilanak 3,KUNTILANAK 3,0.0,0.0,0.0,occult,
945423,Induvadana,Radhasi,0.0,0.0,0.5,sexual,
979203,Hiraeth,Hiralith,0.0,0.0,0.0,none,
960498,Tokaido Yotsuya Kaidan: Northern Stage,,0.0,0.3,0.1,violence,
1013132,KINEMORTOPHOBIA!,Kinemortophobia,0.3,0.2,0.0,violence|gore,
1020266,III,,0.0,0.0,0.0,none,
1013854,Alana,ALANA,0.0,0.0,0.0,none,
994138,Dark Nature,PARK NATURE,0.7,0.6,0.0,violence|gore,
942596,Molar,KOLAR,0.0,0.0,0.0,none,
1013870,Kids vs. Aliens,Kids vs Aliens,0.1,0.3,0.0,violence|occult,
1017732,Debris,,0.0,0.0,0.0,none,
1012220,Three Kings,Three Kings,0.0,0.0,0.0,none,
1031828,The Sadistic Tragedy of Blue Rose Mansion,,0.0,0.0,0.0,none,
1012410,Teenage Ghost Girl,Wänän,0.1,0.2,0.5,sexual|nudity,
953160,Genshi-san,,0.0,0.0,0.0,none,
983581,Tokyo Videos of Horror 17,,0.0,0.0,0.0,occult,
1054285,Shura Land,,0.0,0.0,0.0,none,
1035936,There Is No Such Thing As Home,,0.0,0.0,0.0,occult,
1068449,Kôzuki Yaya: CLONEz,CLONE,0.0,0.0,0.0,none,
1042720,Sympathy for the Devil,Sympathy for the Devil,0.1,0.8,0.7,violence|sexual|occult,
1054022,Japan's Map of Grudges!! Investigation: The Curse of Sugisawa Village,,0.0,0.0,0.0,occult,
997660,Nightsiren,Night Siren,0.0,0.1,0.2,nudity,
1023253,Tales of Horror Reaching from the Darkness,,0.5,0.3,0.0,gore,
983565,Tokyo Videos of Horror 16,,0.0,0.0,0.0,occult,
1017612,The World You Don't Know: A Mysterious Love Story,,0.0,0.0,0.0,none,
1034590,Virupaksha,Sita,0.0,0.0,0.0,occult,
1049946,Tokyo Videos of Horror 25,,0.0,0.0,0.0,occult,
1054626,The Bhootnii,The BHOOTNIL,0.3,0.5,0.2,violence|occult,
1083816,Haunted,Haunted,0.0,0.1,0.0,occult,
1077817,Corpses,,0.0,0.0,0.0,none,
1044115,Exorcist 2: Human Exorcism,阿陶天“白阿陶天”,0.0,0.0,0.0,occult,
1074141,"Flowers in the Mirror, Wind and Moon: The Ghost Appears",,0.0,0.0,0.0,none,
1082614,Bug,BUG,0.0,0.0,0.0,none,
1056607,Spirit Box 4,4,0.0,0.0,0.0,none,
1091407,Blood Lust,Blood Lust,0.8,0.7,0.5,violence|gore,
1083771,Women's Crime Records: Edo Torture Punishment Chronicles,,0.5,0.7,0.0,violence|gore,
1049935,Tokyo Videos of Horror 23,,0.0,0.0,0.0,occult,
1080732,Honto ni Atta Noroi no Eizo: Urami,,0.0,0.0,0.0,none,
899298,Undying,HXKMTb,0.8,0.7,0.0,violence|gore,
1112723,Honto ni Atta Kowai Hanashi - Special 1,,0.0,0.0,0.0,none,
1090518,Karungaapiyam,Aval,0.0,0.0,0.0,none,
1099116,Kandhei Akhire Luha,,0.0,0.0,0.0,occult,
1101683,BiPolaris,Bipolars,0.0,0.0,0.0,none,
1095565,Maataraani Mounamidhi,,0.0,0.0,0.0,none,
1086046,Rotten Dark Image,,0.0,0.0,0.0,occult,
1097612,New Pen Fairy,,0.7,0.6,0.5,violence|gore|nudity|sexual,
1103892,Mia,MTA,0.8,0.5,0.0,gore,
1088798,Evil Night,Evil Night,0.0,0.0,0.0,none,
1101703,新开心鬼,,0.0,0.0,0.0,none,
1114750,Niemand,NEM,0.0,0.0,0.0,none,
1119244,The Earthbound,,0.0,0.0,0.0,none,
1105435,Meat,Meat,0.9,0.8,0.0,violence|gore,
1090427,Posted Grudge Spirit Footage Vol.4: Demon Edition,,,,,,Invalid \uXXXX escape: line 3 column 573 (char 624)
1103509,Resident Evil Masterpiece Theater,The Wolf and the Seven Little Goats,0.0,0.1,0.0,none,
1096076,Fish Piss,FISHPISS,0.1,0.1,0.0,occult,
1118367,Ida,TDA,0.8,0.7,0.0,violence|gore,
1067138,Dancing Mistress,,,,,,Unterminated string starting at: line 5 column 17 (char 83)
1121432,Phoenix,,0.0,0.0,0.0,none,
1125585,Urban Spirit Legend: Reishi Gakuen,,0.0,0.0,0.0,none,
846867,Mad God,Mad God,0.6,0.7,0.0,violence|gore,
1096879,RUN,RUN,0.0,0.0,0.0,none,
1118185,Pyre,PYRE,0.0,0.0,0.0,none,
1137251,GORE,Gore,0.9,0.7,0.5,violence|gore|sexual,
1141891,The Blood,,0.0,0.0,0.0,none,
1127560,Yatsuhakamura,,0.7,0.8,0.0,violence|gore,
1141993,Reprieve,REPREVE,0.0,0.0,0.0,none,
1103985,Insulted Woman Revenge Pachinker Another,,0.9,0.8,0.9,violence|gore|nudity|sexual,
1146575,Paku Tanah Jawa,PAKUT TANAH JAWA,0.1,0.2,0.3,occult,
1158484,Trees,,0.0,0.0,0.0,none,
1150649,Visitor,,0.0,0.0,0.0,none,
1049608,Tokyo Videos of Horror 21,,0.0,0.0,0.0,none,
1151683,WOACA,U OACA,0.0,0.0,0.0,none,
1150696,Gendai Kaiki Hyaku Monogatari: Kaidan Tanhenshu,,0.7,0.6,0.3,violence|gore,
1145277,Document Super Scary Stories: Okinawa,,0.8,0.8,0.5,violence|gore|sexual|occult,
1120011,Namo Bhootatma,Jane,0.0,0.0,0.0,none,
1144719,Okamuro-san,,0.0,0.5,0.0,violence,
1127143,Mama,Mama,0.1,0.2,0.0,occult,
1149514,Janha Ratira Sathi,Jorno Radio Saimi,0.0,0.0,0.0,occult,
1163427,JOHNNY ANTHOJOHNNY,JOHNNY,0.0,0.0,0.0,none,
1166109,Namade Kowasugi!,,0.0,0.0,0.0,none,
1123503,Big Milk,Big Milk,0.0,0.0,0.0,none,
1151960,Ghost Killing,,0.0,0.1,0.0,occult,
1169957,Spine-Chilling Short Stories Kowabana: Scary Woman Kyō,,0.0,0.0,0.0,occult,
1173947,A Shadow over the Chateau,,0.0,0.0,0.0,none,
1118899,Liminal II,,0.0,0.0,0.0,none,
1162936,Babushka,Babushka,0.0,0.0,0.0,none,
1162791,Mamántula,,0.0,0.0,0.0,none,
1146209,Shudder Girls,,0.8,0.7,0.0,violence|gore,
1143007,Blood on Each Step,,0.5,0.7,0.0,violence|gore|occult,
1166947,Haunted School,,0.0,0.0,0.0,none,
1173609,Phantom of the Jade Chamber,,0.0,0.2,0.0,violence,
1179402,Don Khamod,Khon Phii,0.1,0.2,0.3,occult,
1174342,Burning Passion,,0.0,0.0,0.5,sexual,
1178529,Zetsuosore Taikan Kimodameshi,,0.8,0.6,0.2,violence|gore,
1174247,Haunted Bridge,,0.0,0.7,0.0,violence|occult,
1173434,Bitter Fear,,0.0,0.0,0.0,none,
1173781,Trauma Under the Car,,0.0,0.0,0.0,none,
1165206,Tokyo Videos of Horror 18,,0.0,0.0,0.0,occult,
1173424,The Ghost Chasers,,0.0,0.0,0.0,none,
1183797,CannibAlien,,0.8,0.8,0.0,violence|gore,
1199661,Stripped,,0.0,0.0,0.0,none,
1180354,Goddess Panthong,Krua Hua Jai,0.0,0.1,0.1,violence,
1164853,Angaaragan,,0.0,0.3,0.0,violence,
1180377,Boonpeng Iron Chest,Ung Wu Human,0.0,0.7,0.0,violence,
1180529,Blood Love: Nang Prai,ลักสิทินาราก,0.0,0.7,0.0,violence,
1165396,Tokyo Videos of Horror 19,,0.0,0.0,0.0,occult,
1179549,The God of Death,Supannidin,0.0,0.0,0.2,sexual,
1199073,Angel's Snake,,0.0,0.0,0.0,none,
1198084,Amofinado,Amo Finashe,0.0,0.0,0.0,none,
1180756,Krai Thong,Tin-Anod,0.0,0.2,0.0,violence,
