id,title,category,reason,kept_id
688005,Community,dead_tmdb_id,tmdb_movie_404,
729975,Porkin' Across America,dead_tmdb_id,tmdb_movie_404,
752291,CROWN OF THE ARCHONS,dead_tmdb_id,tmdb_movie_404,
772948,The Clock,dead_tmdb_id,tmdb_movie_404,
773327,La Playa,dead_tmdb_id,tmdb_movie_404,
783208,The Ultimate Dilemma Part 2,dead_tmdb_id,tmdb_movie_404,
791038,The Island of Dr. Moreau,dead_tmdb_id,tmdb_movie_404,
793385,Tennis Court,dead_tmdb_id,tmdb_movie_404,
869915,His Name Was Jason,dead_tmdb_id,tmdb_movie_404,
881597,Ritual The Series,dead_tmdb_id,tmdb_movie_404,
894733,The Tragedy Of Doctor Jekyll And Mister Hyde,dead_tmdb_id,tmdb_movie_404,
911229,"It's Me, Billy",dead_tmdb_id,tmdb_movie_404,
928313,The Strange Case of Dr. Jekyll and Mr. Hyde,dead_tmdb_id,tmdb_movie_404,
928317,The Eyes of the Panther,dead_tmdb_id,tmdb_movie_404,
954600,Another!,dead_tmdb_id,tmdb_movie_404,
959307,The Woods: Man's Natural Enemy,dead_tmdb_id,tmdb_movie_404,
989253,Sacrificial Lambs,dead_tmdb_id,tmdb_movie_404,
991182,Night of the Living Dead: 30th Anniversary Edition,dead_tmdb_id,tmdb_movie_404,
991953,Devil's Fairground,dead_tmdb_id,tmdb_movie_404,
996327,Blood & Makeup: The Last Laugh of Blah Blah the Clown,dead_tmdb_id,tmdb_movie_404,
1000589,And the Wall Came Tumbling Down,dead_tmdb_id,tmdb_movie_404,
1012824,The Corvini Inheritance,dead_tmdb_id,tmdb_movie_404,
1012826,Paint Me a Murder,dead_tmdb_id,tmdb_movie_404,
1012840,The Sweet Scent of Death,dead_tmdb_id,tmdb_movie_404,
1012847,Black Carrion,dead_tmdb_id,tmdb_movie_404,
1012853,The Late Nancy Irving,dead_tmdb_id,tmdb_movie_404,
1012859,A Distant Scream,dead_tmdb_id,tmdb_movie_404,
1012953,Last Video and Testament,dead_tmdb_id,tmdb_movie_404,
1015721,The Spirit Box,dead_tmdb_id,tmdb_movie_404,
1024207,this is my world,dead_tmdb_id,tmdb_movie_404,
1032890,Welcome to the Occult Forest,dead_tmdb_id,tmdb_movie_404,
34659,Broken,dead_tmdb_id,tmdb_movie_id_no_longer_exists,
783208,The Ultimate Dilemma Part 2,dead_tmdb_id,tmdb_movie_id_no_longer_exists,
863443,How to make brownies,dead_tmdb_id,tmdb_movie_id_no_longer_exists,
927848,Natural Occurrence,dead_tmdb_id,tmdb_movie_id_no_longer_exists,
978915,A Look Back,dead_tmdb_id,tmdb_movie_id_no_longer_exists,
978916,Real Sleep,dead_tmdb_id,tmdb_movie_id_no_longer_exists,
