id,text,lang_code,lang_score
1216210,"-
)
FEARFEST
a
-
jENNiFER LEIGH
HOUSTON
SALLY
STRUTHERS
eVIL
""SCARY SEXY RIDE""
A
SUBLET
NY 18 por
DE DE en
-
-
THE
-
EN
-",en,0.5745
772295,"Peace has many faces.
KIII YAMAMOTO
MAKHALISS
que USA STRAM II KIA - rin SHINE'S SUM 100m TO DESI MINIST BRITA DIE DEPELLA ES DES DE TOKA
KIGHT BRASIL 40 TARANTER 9980 TARANICO -State RESTRICTIONS ROA un - MICHELING MICTIONS
PRODUCTIONS.com
- UN son MATIM ASANI ISANI EXIT THE EXTRE - SUIMA KING MINI BACKS ARAL
ESA HOY HARRES SACHE KIN TECKET ""III DISCON DO KIDA "" SAMPLE
: TEMM
I
www.makarisu.com
- HOT",en,0.4283
751497,"WOLFIE FRODUCTIONS PRESENTS
LIVING.
ARRANCEMENTS
VOJE PRODUCTION
Tube DE KOREEN ALEXANDRA GLAT BURCHARD 22 RAZ HAZGUETEN
SET - 20%
JUNCORSTAR LOCAL EGU
TOG DRY CRESING UNE ESO 24 LIGRE дос . ESTADO DINGER
- DE ESO SUN",en,0.265
797781,"CraZy
Satchel Williams
Ellen R. Brown
Sam Bonner
Anastacia Diaz
Deuandra T. Brown
Mireya S. Brown
Janice Bonner
ASS
""A Fun Crazy Action Thriller""
B!tche$
Productions
Indie Wise
Director/Producer: Deuandra T. Brown Executive Producer Ellen R. Brown
Starring: Deuandra T Brown, Mireya S. Brown, Ellen R Brown, Sam Bonner,
Janice Bonner, Satchel Williams Anastacia Diaz, Music by: Deuandra
VFX/Editor: Deuandra T Brown Detaron Productions 2018 ©
R
Official Website: https://detaron.wixsite.com/crazyassbitches
SAG-AFTRA",en,0.924
739587,"CORY
DANGERFIELD
A NEBEKER Twin FILM
THE ANGLER
DIRECTED WRITTEN EDITED BY
MAXIM & LUCY NEBEKER
OVERCRANMEDPICTURES ROCES CORYDANGERFELD*THE ANGLER""
adidas POR OSCAR JIMMEZ
OVERCRANKEDPICTURES",en,0.8752
85197,"HONEYMOON
HOAROR
'Til death do us part.",en,0.9552
87858,RATLINE,en,0.4581
524736,"SING FUMT
SING
MELIBARA
KUNTILANAK REAAL MANTOVANI
- -
HISH
EINE
- IN ith ... - DES THE
adidas
- TOTAL -
..
-
adidas
TOM
..
MITHIN -
-
HFF
H
-
THE
adidas DE MOTO
-
-
TIPETO -
JOES
THE adidas
100 TOUR
-
...
-
BY
STATE
-
LEBARAN 2018
BOX",id,0.7844
1024747,"VOLCAW
ACM
ACCENTIONE
-OFFICIAL-",en,0.4372
1583838,ALTER,en,0.5
792149,"DEAD
AGAIN
POLICE
LOCKDOWN
WON'T
SAVE YOU",en,0.9955
255674,"FWC PICTURES, LLC
presents
The Visitant
BASED ON ACTUAL EVENTS
They said their love
would last forever...
BUT BEYOND
THE GRAVE?",en,0.9877
1258568,"TERROR
A SHORT FILM",en,0.9596
847197,HUNTING TERROR,en,0.97
147232,"Always
From
Darkness",en,0.998
497830,"60
05
SECONDS TO DIE",en,0.9927
579437,"THE
OUTER BOROUGHS",en,0.9962
110345,"A FILM BY NOBORU IGUCHI
DEAd
SUSHi
The Sushi
Bites Back!",en,0.9865
149630,"MORBID
HORROR
IN VIVID
COLOR
FLESH
FEAST",en,0.8933
794234,THE BUNKER GAME,en,0.9971
537715,"THEY'RE HUNGRY
SMEETS DREAMS
COHORTE AUTOMNE 2015
NAD PRESENTS ""SWEET DREAMS"" STORY BY CHARLES-ETIENNE D'AMOURS STARRING JACOB D'AMOURS
PRODUCER EXECUTIVE DOMINIC MERCIER EFFECTS BY SPECIAL
COHORTE AUTOMNE 2015
MUSIC BY PHILIPPE SAVOIE-LEMAY
NAD",en,0.8918
966572,"OFFICIAL SELECTION
HELL DE
Festival Paranaense
Festival Boitatá
JANEIRO
ALEXANDRE ACCORSI
Cinema de Horror
Itinerante de
FESTIVAL INTERNACIONAL CINEMA
TERROR DO RUS DE JANEIRO
2022
VITOR FRAGA
2022
OFFICIAL
FAN
SELEÇÃO OFICIAL
IV
FANTASPOA
SELECTION
INSETO
TAS
NÓIÁ
2021
SELECÃO OFICIAL
T
Cuarta
Alagnainha
2027
3FEESTCINE
ITAÚNA
Kalakari
FILME HORROR
2° MANAUS
FANTÁSTICO
SELEÇÃO OFICIAL
OFFICIAL SELECTION
2021
2022
OFFICIAL SELECTION
n
Student
World Impact
Film Festival
GLOBAL
LIFT-OFF
NETWORK
SESSIONS
2 0 2
SELECTION
1
OFFICIAL SELECTION
Premieres
The Paus
Festival
2022
ROTEIRO E DIREÇÃO: NÍCOLAS LOBATO PRODUÇÃO: LAURA MOGLIA DIREÇÃO DE FOTOGRAFIA: FRANCESCO FOCHESATO
DIREÇÃO DE ARTE: NICOLAS",pt,0.9459
105004,"Deco FILMS
WATARIA SCOPE
CONTRE
LES7 MONSTRES
TEGEN
DE 7 MONSTERS
COLOR",fr,0.4822
739123,"TALES
HOOD 3
FROM
THE",en,0.9919
970512,"9
WAYS
TO
HELL
666",en,0.9915
533210,"DARKSIDE RELEASING PRESENTS
A NEW ODYSSEY OF VIOLENCE AND EROTICISM
ODISSEA
DELLA
MORTE
OF THE OTADI
FROM
AWARD*WINNING
DIRECTOR
VINCE D'AMATO
ELEGANT PERVERSION MEETS THE PERVERSION FOR ELEGANCE
RELEASING NIKE BOVOD GALLO ERICO
40 WT ABDUSSATI 42 MICKEY EVIL - NICELL RANCED TARET ""TVNCE an MICKEYENE de DE MICSHOTS
""NINCE TARAT THUT GARNE VINCE FINET TENCE TIRET
SARRING MINISA COMAGATA EISE CRADOL eu E NOCULA D NOTE LARISSA NIKET MICHELIA BARG PRITER 11121 ALEXANDER UNI LOVET
doncide",en,0.733
602547,"""WAZEE""
48
1) 7 IL
i)
2 N
VET.
6848 ...
ROXO плая GREE ФИЯ ROK- SCONT ABR
- - - ... I - - - -
Matorn
- - -
.....
- ....
-
www.talgooro.net",ilo,0.3245
1428191,"THE WEEKND
A FILM BY EDDIE ALCAZAR",en,0.9983
931896,"II
E
+1 ر a
1001
-
!
!
A15 FF FBC 9~",ht,0.2964
1242578,"Обурстя IN Are MIRROR CLOSER THAN THEY APPEAR
И",en,0.8834
216203,"PIECES
TALENT
OF",en,0.9865
29505,"TIME CHANGES EVERYTHING...
AND DAVID'S IS RUNNING OUT.
EXPENDABLE
A MARK BARANOWSKI FILM
STARBING
RYL MORGAN MARK BARANOWSKI
RACHELLE WILLIAMS AND BRINKE STEVENS",en,0.9387
681457,"ARNIVOP
THE
RES",en,0.9312
776294,"THE
HOUSE
AND THE
WH TE
STR NG",en,0.9929
1617087,"DON
JINS
WER",da,0.3392
681185,PRIDE,en,0.8002
1064178,"HUNT
CLUB",en,0.836
954787,"UN CORTOMETRAJE DE
JEREMIAS SEGOVIA
LA
HORA
AZ
UL
UNA PRODUCCION DE FOGON FILMS CON LUCIA BLASCO JUAN DIEGO EIREA ""LA HORA AZUL""
JEFA DE PRODUCCION LETICIA BARREIRO DIRECCION DE FOTOGRAFIA ALEJANDRO ROCCHI MONTAJE MAURO SARSER
MUSICA JAVIER ORMAN SONIDO ANDRES COSTA COLOR ELISA BARBOSA POST LUCAS CARRIER
DIRECCION, GUION, PRODUCCION JEREMIAS SEGOVIA",es,0.8639
1009049,"WANNA SEE
A
MAGIC TRICK?",en,0.9988
1743173,"SYDNEY MCCARTHY
ARIS LE BEAU
WANNA SEE
A
MAGIC TRICK?
omegle
ACM
AN ALEX MAGAÑA FILM
-EMOK-",,
469666,"GH
para
SHEETA
GORE",es,0.4029
321713,"**********
!
XHOL!
49%
!
CINEMASCOPE
- 10
owo
SPEA CRA
[ДН
+X
!
and
!
<4
E!!
!
ARINGE
: ARE DAP u
0 IRIS
a",en,0.2821
732231,"THREE DISC BOX SET
Discovery
Castle Ghosts
CHANNEL
OF ENGLAND + SCOTLAND + WALES + IRELAND
d
INTRODUCED BY ROBERT HARDY DVD
VIDEO
DELTA",en,0.9337
732232,"THREE DISC BOX SET
Discovery
Castle Ghosts
CHANNEL
OF ENGLAND + SCOTLAND + WALES + IRELAND
d
INTRODUCED BY ROBERT HARDY DVD
VIDEO
DELTA",en,0.9337
