id,title,original_title,release_date,poster_path,original_language,popularity,vote_count,vote_average,overview,imdb_id
278806,Edison Death Machine,Edison Death Machine,2006-01-01,/jXdH42u4qOL2RgbbN5G1KUp4FfU.jpg,en,0.931,0.0,0.0,A robbery goes terribly wrong and may have brought the infamous Edison Death Machine into the wrong hands. It can raise the dead!,tt0816237
634171,Mãe Querida,Mãe Querida,2017-09-09,/uT1ONBhXf3RHfJmvBQbCOheCtpU.jpg,pt,0.84,0.0,0.0,"Matilda is a teenager haunted by the death of her father and mistreated by her alcoholic mother, Susana. One day she decides to ask a witch for help.",tt7157892
1455589,Barefoot Labyrinth,Barefoot Labyrinth,2025-03-28,/y4B3QhpTnFrBOZXaik4B65YZ6gs.jpg,en,0.5005,0.0,0.0,"In a dystopian world, women are vanishing into a portal that has appeared in an abandoned industrial building outside of Los Angeles. This is a video document of the horror and ecstasy of what lies inside the barefoot labyrinth.",tt36318482
927409,The strange world of Gumball,El extraño mundo de Gumball,2021-07-05,/uEqYimFhzy9w9ZN7aBkJqR29NZW.jpg,es,10.919,1.0,2.0,The Amazing World of Gumball lost chapter.,
36003,"Danger! 50,000 Zombies","Danger! 50,000 Zombies",2004-01-01,/ml8f7la7uTTZqKXtaSkZk13cyvS.jpg,en,1.147,9.0,7.4,"Nick Frost presents a special spoof edition of his documentary ""Danger! 50,000 Volts!"" purely on the subject of the living dead.",tt0462673
1714026,Oh Timmy,Oh Timmy,2024-05-26,/xtvNsTufAOh8OVSnRpHS10WGTK7.jpg,en,1.161,0.0,0.0,A six-year-old boy's innocence and imagination spirals out of control when his lovable yet clumsy father keeps enabling him for every evil shenanigan he does.,tt38869358
645881,The Witch's Fiddle,The Witch's Fiddle,1924-01-01,/t8KTagigKlI8j8l5HmOUmx4Lk58.jpg,en,0.037,1.0,5.0,A wandering musician comes into the possession of a bewitched instrument.,tt11141674
117216,Terror Eyes,Terror Eyes,1989-11-11,/7uEfw9mNmoOUqvM8wPLbqVPd9cn.jpg,en,0.916,6.0,2.5,"A frustrated advertising executive is confused to receive a job assignment from her boss to write the screenplay to a horror film. Recruiting the help of her friends, a weekend camping expedition becomes the forum for each to share their scariest stories, which become frightfully real.",tt0094123
1196089,Sigil,Sigil,2023-10-25,/mjD2erXXQsHd6luQ8OxBdK5Kpiz.jpg,en,0.9441,0.0,0.0,Two girls unknowingly conjure a witch while celebrating their anniversary in the countryside.,tt28595397
287077,The Best of Gesichter des Todes,The Best of Gesichter des Todes,1992-11-11,/h8h9WSVcouI2Pr4Dwri5q6X5ngh.jpg,de,0.6,1.0,5.0,"A Faces of Death film that was released exclusively in Germany, with a German narrator. Although most of the footage is compiled from the first three Faces of Death films, it also includes some new scenes, including car racing accidents and naval footage.",tt7007760
9064,Hellbound: Hellraiser II,Hellbound: Hellraiser II,1988-12-23,/auPOq1wgZuYSaADejOskBKG6fuV.jpg,en,37.92,843.0,6.4,"Doctor Channard is sent a new patient, a girl warning of the terrible creatures that have destroyed her family, Cenobites who offer the most intense sensations of pleasure and pain. But Channard has been searching for the doorway to Hell for years, and Kirsty must follow him to save her father and witness the power struggles among the newly damned.",tt0095294
744273,Quarantine Girl,Quarantine Girl,2020-09-04,/gf7l6OJecG5laNMKknL3Dcgl1tt.jpg,en,1.555,9.0,3.9,A woman's mental state deteriorates as she isolates herself during an epidemic.,tt12283738
831396,The Bunker,The Bunker,2024-08-23,/mtLv6gZYqwc1tJ5eTaTknIg4ZHf.jpg,en,0.562,24.0,4.8,"When mysterious alien ships appear in the sky, a scientist is sealed in an underground bunker and must create a bio-weapon to stop the unknown visitors, but paranoia and isolation cause her to question the true intention of her mission.",tt14598536
663122,De Vlieg,De Vlieg,1985-04-17,/4jQeQETrRVSG67h6FnDeyzybbzS.jpg,en,0.6,0.0,0.0,A man is annoyed by a fly he just can't seem to kill.,tt0230957
282391,Fisheye,Riblje oko,1980-10-01,/e5z20ARlsR6twqYrDeZH78UCnkD.jpg,sh,0.6,9.0,6.0,A fishing village falls prey to a nightmare revenge from the sea. Award-winning Yugoslavian animated short film.,tt0262732
256907,Darr @ the Mall,Darr @ the Mall,2014-02-21,/4Ulk36fzSrgK2Lgk7wjJDkhgFRn.jpg,hi,1.625,11.0,4.3,Darr @ The Mall is a spine chilling tale of one night and an encounter with the past.,tt3449320
261403,The Hunched Donkey,El burro jorobado,2009-08-26,/7A47KPM6cjMLPM5w7PBVTEGdhyL.jpg,es,0.963,4.0,5.0,"After his mother's death, a young man edits the family's home videos to bring back her image. As he delves into the occult he begins to reveal the paradoxical magic of memories and cinema.",tt1504382
644460,Dykefoot,Dykefoot,2018-12-31,/hsiQUo5fbp8GHBpHRmRwheEUXPx.jpg,en,0.6,0.0,0.0,"Four friends head into the woods of Washington-off Dike Access Road-for what they believe will be a relaxing weekend of camping. Ignoring subtle warnings from locals, they arrive at an isolated campground and are met with a string of terrors brought on by a mysterious killer.",tt9306782
53806,The Other Side of the Underneath,The Other Side of the Underneath,1972-11-21,/69Q1pdyg4q0r6dFq69jBZuE0tNC.jpg,en,2.807,15.0,6.9,A surreal look at the schizophrenia of a group of girls in a therapy session.,tt0201820
464832,Killing God,Matar a Dios,2017-10-11,/fJHIW6xmKZJTsTCXsWKt3s1ZLt9.jpg,es,3.149,47.0,5.6,"When Carlos (Eduardo Antuña) invites his father (Boris Ruiz) and his brother (David Pareja) to spend a pleasant New Year in a strange house isolated in the forest with him and his wife Ana (Itziar Castro). But what promised to be a quiet family dinner, suddenly is interrupted by the presence of a peculiar vagabond, dwarf and very bad man, who claims to be God (Emilio Gavira).",tt6229030
849255,Bloody Guys,返り血の帰り,2019-01-01,/kMBrVS7spKpIcifAyvpAFJQHyih.jpg,ja,0.6,0.0,0.0,"After the murder of his brother, Kamata still carries the bloody hammer with him. By chance, in a deserted little park, he meets Shouko, who has just stabbed an annoying fellow student with a knife. In an unexciting conversation about their motives and concerns, the two killers discover an unexpected affection.",
732773,The Lockdown Hauntings,The Lockdown Hauntings,2021-05-03,/nQ1BgDIQnPjUCJVozrnZftALeWT.jpg,en,3.002,5.0,4.4,"With the streets now empty, it isn’t just nature that is taking advantage of this unprecedented global disaster. Spirits are freer than ever before and the spirit of a notorious serial killer, AKA ‘The Locksmith’, is back from the dead and he has even more potential victims. Can self-isolating detective George Parker with the guidance of paranormal expert Jordan Myers, prevent more young women from becoming victims of The Lockdown Hauntings?",tt12764606
752443,Who Goes There?,Who Goes There?,2020-02-24,/pDGO5YtaEpCxCf5svDjnmpYsLjr.jpg,en,0.6,3.0,5.7,"Minnesota 1880: The trust of three Norwegian sisters is tested when a stranger appears on their prairie. When the eldest invites him in to heal her dying sister, she doesn’t realize that a supernatural force is crossing her threshold.",tt11277740
684807,Frostbite,Frostbite,2017-06-19,/sglZsCBLSdDdRKTiJQDN6yoYh5c.jpg,en,0.6,1.0,3.0,An 1890s monster hunter finds an elusive and dangerous creature in the snowy wilderness.,tt7061838
7282,Password,Password,2005-01-01,/tQhZq86eSK7wrOzyAbVckM0RywT.jpg,en,0.6,0.0,0.0,No overview found.,tt2865706
402515,American Beast,American Beast,2014-10-21,/ivQ9rzNV3HzGlwbWNS6bavjsOJk.jpg,en,7.234,30.0,6.5,"After his mother's death, James Erikson discovers her old storage locker filled with journals and newspapers of his family's history. As he researches it, he finds out about the evil creature that his family has tried to contain for several generations, beginning in 1939 on a mysterious piece of property in an American small town.",tt3565836
1244381,No Budget Theater,No Budget Theater,2023-10-10,/7eOwaQ7JGZZ9V6xBvdVLuMuO8rs.jpg,en,0.7916,0.0,0.0,"A no-budget anthology film consisting of action, martial arts, horror, and sci-fi.",tt29468116
1596208,Thanatos,Thanatos,2025-05-06,/cVU36wdCCfwhR6CpjkxUjOVH5Yj.jpg,en,1.0175,0.0,0.0,A soon to be graduate grapples with the anxiety of commitment personified in a mannequin that stalks him,
86343,The Ghost in the Invisible Bikini,The Ghost in the Invisible Bikini,1966-04-06,/oQi7TMOoFHF0J3DIojK9FKX2pQT.jpg,en,2.199,18.0,5.6,"A corpse has 24 hours to mastermind a good deed without leaving his crypt, to go ""up there"" and have his youth restored.",tt0060457
840324,Not Found 4,Not Found 4　－ネットから削除された禁断動画－,2012-03-02,/6GCCVDS3LNXbgBhXJxtHEN6fAZ3.jpg,ja,0.6,0.0,0.0,"4th entry in the Japanese horror found footage franchise, ""Not Found"".",tt18986880
70247,Watchers II,Watchers II,1990-08-16,/iU7Yy5dRIaoFvmgv40Fb2feSISt.jpg,en,3.789,20.0,5.0,A genetically re-engineered dog develops a psychic link with a monster created in a lab experiment which goes awry.,tt0100904
436113,Remember Me,Remember Me,1985-01-01,/bAMlH1rATsb5ROxOo3EdrDxEcAz.jpg,en,0.6,0.0,0.0,"A woman recently returned to work is contacted by her former husband who has been in a mental institution. She is torn between her still strong desire for him, and her fear, which comes from events in their past. She cannot control his intrusion into both her current life and her second marriage, and tragedy ensues.",tt0089900
760918,Dana,Dana,2020-10-10,/jwwSOsgAgVv0NPFORK0IdixuLYj.jpg,es,0.6,0.0,0.0,"After being attacked by a rapist one night, Dana believes that something must change and decides to make justice with her own hands.",tt11162476
449463,Turtle Island,Turtle Island,2013-01-01,/gngtbb3msr6laQrKE6xEFPv4DmZ.jpg,en,1.219,6.0,4.7,A documentary filmmaker takes his three friends out into the woods of Vermont searching for Bigfoot.,tt2492540
491132,Before Someone Gets Hurt,Before Someone Gets Hurt,2019-10-24,/dUgoy8qSCZ5Y5pBiu5ipufvS16d.jpg,en,4.406,17.0,4.2,"Tim and his team are the rising stars of the ghost hunting game. One thing they all like better than a good haunt is a great prank. When the team arrives at a new investigation, they cannot figure if the occurrences are part of some elaborate master prank or if the house is actually haunted. Unfortunately, they don't find the answer until it is far too late.",tt3444206
135579,Dead Before Dawn,Dead Before Dawn,2012-10-10,/5eg33AUKUsnGuX5LCe1OMTSJdIC.jpg,en,6.883,96.0,5.5,"A bunch of college kids accidentally unleash an evil curse that causes people to kill themselves and turn into Zombie Demons, aka ZEMONS!",tt1989485
235796,Dr. Jerkyl's Hide,Dr. Jerkyl's Hide,1954-05-07,/hvCUoQup7aAeRuHE5Icf8wnCQte.jpg,en,0.858,9.0,6.6,"Two cockney canines chase Sylvester Cat into the lab of Dr. Jerkyl, where the cat drinks Hyde formula...",tt0046920
406453,Blood Orgy At Beaver Lake,Blood Orgy At Beaver Lake,2012-07-06,/ywId3frtcfOc6GCWyK67OJtK4kj.jpg,en,0.6,2.0,5.0,"When inbred brothers unknowingly mix the new party drug into their moon shine, they're transformed into blood thirsty cannibals with an insatiable appetite for human flesh. Terror ensues when a group of friends arrive at camp beaver lake for a weekend of fun in the sun but instead find themselves in a fight for their lives in this horrific and hilarious fright film.",tt1986785
980478,Metamorphosis,Metamorphosis,2022-05-09,/zxdFoFQA710sxYzwucbvjQGFmI4.jpg,en,3.74,2.0,7.5,"Seeking refuge on an island in Upstate New York, a married couple's final attempt to salvage their failing relationship takes a turn for the worse when the husband begins to regress emotionally, mentally, and physically.",tt13265204
659313,Kisah Seram Hostel,Kisah Seram Hostel,2019-12-28,/47J7Zi3u9MWEHV0BD9YtkYDlIz1.jpg,ms,0.84,0.0,0.0,"Anissa’s presence to the new hostel reopens the stories that took place in the hostel. Maya, Cempaka, Orkid & Anissa sit in an old dorm to share a dorm horror story they have heard. Bathroom ghosts, bed counting, currypuff aunt ghosts, pocong and more. But what Anissa heard really happened.",
726239,Dead,Dead,2020-10-22,/eu40V59ULl92GIWfRGLAuzu5EYb.jpg,en,2.846,20.0,6.3,"Dane ‘Marbles’ Marbeck can see ghosts, thanks to a homemade drug: his late father’s neurological medication mixed with marijuana.  Officer Jayson Tagg, a wannabe super-cop on the trail of a serial killer, ends up murdered.  So when Marbles’ mum plans to sell the family farm, and the only way of buying the house off her is taking the money offered by Tagg in exchange for his help, Marbles accepts.  The unlikely duo of stoner medium and ghost cop struggle to reconcile their differences while they navigate their way through ghouls, perverts, a mysterious hooded figure, and an unexpected shot at love.  It becomes clear the only way Marbles and Tagg will solve the case with their souls intact is to confront their deepest regrets and overcome their prejudices.",tt12145322
850060,Dead Till Death,Dead Till Death,2021-07-11,/nfJgD8QCNgw68lkda2J5HBZrIwD.jpg,en,0.6,0.0,0.0,"When Tom, Brad, Nancy, Quig, and Hal decide to leave the city and set up camp deep in the woods for a weekend of disconnecting from phones and social media, they become hunted by a pack of evil killers. They set out for a wild time far away from life, laws, and technology, but instead of reinventing their lives, they must run for them.",tt14970998
283437,A Curtição do Avacalho,A Curtição do Avacalho,2006-06-14,/TwJwCRiBYtlfCfzaqE6x7JIAFl.jpg,pt,0.6,0.0,0.0,"Sinners of a rural community having his flesh melted as an atonement for his Christian offenses. A revolutionary army of two people feuding with hordes of rotting zombies, and a mad scientist philosopher that builds a mummy of Christ to control the world.",tt3026660
1216210,eVil Sublet,eVil Sublet,2023-05-06,/9F9TwvEJI5YvRdvbcUpHVGb04ku.jpg,en,0.2446,4.0,3.5,"A New York couple knowingly moves into a haunted apartment because the rent is cheap. But when having murderous ghosts as roommates becomes too much for them, their lives soon depend on escaping the evil of their sublet.",tt27774585
772295,Makhaliss,マカリス,2019-06-15,/g5qFBlu9j7tJpqwG0bkFaHSwAfl.jpg,ja,0.6,0.0,0.0,"A cold-hearted reaper, Makhaliss, meets a dying teenage girl who suffers from the guilt of leaving her mother behind.",tt9324702
751497,Living Arrangements,Living Arrangements,2009-09-19,/ammyisRAlyvgWWjZoE5jWquNf0O.jpg,en,1.519,2.0,10.0,Sasha and Billie just found a new apartment right next to their favorite coffee shops and thrift stores. Life couldn't be better until they discover a blood-thirsty werewolf living in the attic. Coping with the uninvited roommate challenges their vegan lifestyle and may turn these animal savers into animal slayers.,tt1378720
797781,CraZy A$$ B!tche$,CraZy A$$ B!tche$,2018-01-01,/8xE3r1M4n2wNb8u5hNgmlyNKXyq.jpg,en,0.6,0.0,0.0,"A married couple Veronica and Tahj Tanner are being held hostage for money by three crazy females who just broke out of prison, Sheanna, Porcha and Skylar.",tt8761320
739587,The Angler,The Angler,2020-09-01,/7PyNJK34A3aAcCcUxGBlHLCvs3A.jpg,en,0.6,0.0,0.0,An angler obsessed with perfecting his art catches himself.,
85197,Honeymoon Horror,Honeymoon Horror,1982-06-15,/xO7D8atV6oxueOUTBvheG9guGvT.jpg,en,1.023,11.0,4.1,"Imagine every newlywed's fantasy, a rustic secluded lover's paradise -- Honeymoon Island. What starts as a weekend of love turns into a nightmare of blood and terror for three young innocent couples. What lurks in the shadows of Honeymoon Lodge? Is it the caretaker, or perhaps something more fiendish and deadly? Honeymoon Island, where newlyweds joined in holy matrimony spend their wedding night screaming in terror!",tt0126948
87858,Ratline,Ratline,2011-06-24,/xPkHCWTbwLBGSu4winMWJRKHNmL.jpg,en,0.6,1.0,1.0,"In a flash of blood-drenched violence, Crystal Brewer's life has taken an unexpected turn. On the run from the law for her part in a gruesome drug-money heist gone wrong, she has become seduced into a seedy underworld of death and betrayal. Escaping into the night with her half-sister Kim, Crystal seeks refuge in a small Midwestern town to make sense of her life-threatening ordeal. However, any plans for solace are soon derailed when she crosses paths with Frank Logan, a mysterious stranger with a bloody history of his own. Crystal's initial intrigue with Logan's sinister allure soon gives way to sheer terror as his vile intentions for her are revealed. As a new wave of violence threatens to destroy those close to her, Crystal is forced to make a terrifying decision. Will she stop Logan before more innocent blood is spilled? Or will she join him in resurrecting an evil that could consume the world?",tt1336005
524736,Kuntilanak,Kuntilanak,2018-06-14,/64b5CSGsnmnx9oiWR6hzadsjWME.jpg,id,4.266,55.0,6.2,"A group of kids agree to explore an abandon house in order to win a reality show contest, which requires them to prove that the stories of the evil Kuntilanak are real. They soon discover that the ghost is very much real when it appears from an old mirror and starts haunting them.",tt8512746
1024747,Mukbang,Mukbang,2022-09-10,/tfzyF9PGwfVekCVrjQ0Lp7irCLL.jpg,en,1.404,0.0,0.0,A YouTuber is blackmailed into live-streaming her Mukbang eating challenge,
1583838,Alter,Alter,2025-10-31,/TgRcObwVMMOzuNrhI2lk3NLTtZ.jpg,en,0.1886,0.0,0.0,In the woods,
792149,Dead Again,Dead Again,2021-01-04,/r6GcVs4ztC3UxSbI341rczusudy.jpg,en,0.708,9.0,5.4,"A VIRUS IS LOOSE. In rural village where crime is non existent, a police sergeant is retiring out of boredom. He is sent a young recruit fresh out of police school. All hell is about to break loose in this apocalyptic horror film.",tt8077310
255674,The Visitant,The Visitant,2014-04-15,/2XDe2ESylxLV8z0B1Ir0ErCBDxC.jpg,en,1.509,9.0,4.3,"Samantha plays the role of ""Fortune Teller,"" but she is a thorough skeptic about ""paranormal activities"" and all things supernatural - she certainly doesn't believe in ghosts.",tt2276258
1258568,Terror,Terror,2023-12-31,/seEjbSb7pAiFIn73W8u31E97VOX.jpg,en,0.3454,2.0,6.0,The sole survivor of a mountain climb struggles to come to terms with a supernatural incident.,tt30053074
847197,Hunting Terror,Hunting Terror,2020-11-05,/ctwuYdMTYPeLepEaSGmWwfhMEpl.jpg,en,0.6,0.0,0.0,"When a young girl is murdered in Lakewood Park a group of journalists by the names of Alex, Josh and Luke venture into the woods to find evidence and take their journalism experience to new heights. However, as things in Lakewood Park become more and more sinister, the trio of investigators begin to believe they are getting more than they bargained for in this bloody broad daylight nightmare.",
147232,Always From Darkness,Always From Darkness,2011-01-01,/a3Qzi4bdmDKFCsBX69L59GObq3g.jpg,en,0.6,3.0,4.3,"When a young woman takes notice of her neighbor, she has a plan to make him hers. Only problem is, she's a vampire.",tt1825650
497830,60 Seconds to Die,60 Seconds to Die,2017-12-05,/5Flzesb27cBBIhqIpPzcmos5dHg.jpg,en,0.923,1.0,10.0,"Horror Anthology ""60 second short films that will scar you for a lifetime""",tt4942694
579437,The Outer Boroughs,The Outer Boroughs,2017-12-03,/ytnstyUhrhhLrWC4fzhIfGi3EAN.jpg,en,0.6,2.0,9.0,"Two friends, Dan and Pete, move to New York City to discover that the Outer Boroughs, while more affordable than Manhattan, are vastly haunted by all sorts of ghouls, ghosts and goblins. How can Dan and Pete handle power demons and the undead when they can barely pay the rent? Tune in to witness all the horrors that await this supernatural odd couple in...The Outer Boroughs.",tt7074788
110345,Dead Sushi,デッド寿司,2012-09-21,/x3nUDc6ujkMScBIqAnMsTm9GBON.jpg,ja,5.644,55.0,5.9,A disgruntled researcher injects his former employers' meal with a serum that turns their sushi into flesh-eating monsters.,tt2396429
149630,Flesh Feast,Flesh Feast,1970-05-20,/A4Pf2qrHwxzbYfzVQPVf6R0YdEZ.jpg,en,0.848,4.0,4.9,"A doctor in Florida conducts shady experiments involving maggots and stolen body parts, which may be in preparation for a larger plot.",tt0065727
794234,The Bunker Game,The Bunker Game,2022-02-24,/1FGenj5LnApAsJVLbd5Ehmn16XV.jpg,en,9.306,52.0,5.3,"Laura, 25, is an actress in a L.A.R.P. (Live Action Role Playing) Game, where the participants play the survivors of an atomic war who live underground in a sealed bunker. After several mysterious accidents, the game is interrupted and the players leave the bunker while the staff remain behind to investigate the disappearance of Greg, the mastermind of the game. They soon find themselves trapped inside and in peril as they begin to die in mysterious ways and the group realizes that someone or something paranormal is playing a twisted game with them which quickly plunges into a terrifying fight for survival.",tt13893190
537715,Sweet Dreams,Sweet Dreams,2018-07-22,/v5fu6YOTBUihWW5WKEFz4NaYJef.jpg,en,0.6,0.0,0.0,A young boy explores his home at night to fight his fear of monsters.,
966572,Inseto,Inseto,2021-11-25,/4PQyYmGhaYrSLGwTI1BR4B0of0j.jpg,pt,0.6,0.0,0.0,"Ignacio is locked in a hotel room.  Stunned by a giant and frighteningly bizarre insect, he sees a way out when Arthur knocks on his door.",
105004,The Magic Sword of Watari,Fei long wang zi po qun yao,1970-01-01,/lqSitrWCD869I2Sw9wlBxnMUXxT.jpg,zh,0.6,0.0,0.0,Another movie with the boy born from a giant peach,tt0203665
739123,Tales from the Hood 3,Tales from the Hood 3,2020-10-06,/fT27GgfhKys7aLqXIzhIdv5RLBT.jpg,en,4.662,24.0,5.6,"Following the franchise's cult classic roots, this new anthology featuring Tony Todd and Lynn Whitfield will scare and thrill with its horrifying twists and social commentary.",tt11453082
970512,9 Ways to Hell,9 Ways to Hell,2022-05-18,/d8QBX4iqsxrnkrJCbVjxHzfHPcd.jpg,en,1.007,1.0,10.0,"A multi-award winning Horror Compilation inspired by Dante's Inferno. 9 diverse filmmakers deliver a twisted, micro-budget mix of blood and violence, comedy and carnage, demonic creatures and real world terrors, social commentary and WTF madness.",tt6621768
533210,Odyssey of Death,Odissea della Morte,2018-03-27,/3XAbtwot6x760UEUh1C7VfY7xVx.jpg,en,0.6,4.0,2.5,A man being investigated for his girlfriend's murder sets out on a two-day journey to explore their debauched city in the back of a rented limo.,tt8332142
602547,The Chasing World 2,リアル鬼ごっこ２,2010-06-05,/gFfMc9sx5IRhKRQ9IYNfnTrAg3X.jpg,ja,0.989,1.0,5.0,Teenager Tsubasa Sato returns to the parallel universe where demons are out to kill every person with the last name of Sato.,tt1564906
1428191,The Weeknd - Red Terror,The Weeknd - Red Terror,2025-02-01,/z4EUiZga9NCNfsi0HoV0GHBKeks.jpg,en,0.6153,0.0,0.0,"""Red Terror"" visual picks up where ""Open Hearts"" leaves off. The Weeknd is portrayed as a mouthless child who appears to be chased by monsters through an ominous forest as he tries to shed his original form.",tt35660679
931896,Hoshi Shin'ichi Mystery Special,星新一ミステリーSP,2014-02-15,/56usLAUE1RizBvXwBTLlmvWdSix.jpg,ja,0.6,0.0,0.0,A collection of five short stories by Hoshi Shinichi,tt3493754
1242578,Objects In Mirror Are Closer Than They Appear,鏡中物體似遠還近,2024-12-06,/cDJ826iK8pKR6D5qabADIVYbraB.jpg,en,1.1206,0.0,0.0,"Jason Lu, a Hongkonger living in LA, works a shift at a restaurant and finds himself in a bizarre situation, and facing a deadly problem.",
216203,Pieces of Talent,Pieces of Talent,2012-01-01,/iLLkthlww3pp18p4b2s7cEnBoO2.jpg,en,1.837,10.0,6.2,"Set in the small coastal town of Bright Leaf, North Carolina, “Pieces of Talent” centers around Charlotte, a disillusioned aspiring actress working a night job as a cocktail waitress in order to make ends meet. Charlotte catches a break when seemingly chance circumstances put her in contact with a local filmmaker, David Long. David and Charlotte form a quick friendship that leads to Charlotte landing the starring role in David’s newest project. David quickly becomes obsessed with Charlotte and begins building his masterpiece. He films each encounter with the ultimate goal of filming Charlotte as his final installment. David is a happily obsessed individual willing to do whatever it takes to make “true art.” He utilizes his charm and skills to make something dark and deranged seem utterly beautiful and loving.",tt2098781
29505,Expendable,Expendable,2003-08-14,/uoAhyRJ9L85Pgfxc4HvCEQXNsTU.jpg,en,0.6,0.0,0.0,"David is a drug dealer who pays a final visit to his ex-wife Nicole before leaving town with his new girlfriend. Little does he know that Nicole is now a vampire, and he soon realizes that some things are better left in the past!",tt0387208
681457,The Carnivores,The Carnivores,2020-03-14,/6xzo9uqrywv90K0oeXv7QjnJSRR.jpg,en,1.899,4.0,3.0,"Alice and Bret's dog Harvie is dying, and he's ruining everything. What had been a bright little family is quickly getting consumed by clouds of self-doubt, suspicion and a disturbing amount of ground beef.",tt6649930
